Description:
Start date: 2026-04-14 00:00:00
End date: 2026-04-16 00:00:00
Sampling interval: 30T
Animal: Animal 6
Tag: 263000247284
Sex: Male
Cage: 1

Data:
date, duration, values, day
2026-04-14 00:00:00,0.0,0,2026-04-14
2026-04-14 00:30:00,0.0,0,2026-04-14
2026-04-14 01:00:00,0.0,0,2026-04-14
2026-04-14 01:30:00,0.0,0,2026-04-14
2026-04-14 02:00:00,0.0,0,2026-04-14
2026-04-14 02:30:00,0.0,0,2026-04-14
2026-04-14 03:00:00,0.0,0,2026-04-14
2026-04-14 03:30:00,0.0,0,2026-04-14
2026-04-14 04:00:00,0.0,0,2026-04-14
2026-04-14 04:30:00,0.0,0,2026-04-14
2026-04-14 05:00:00,0.0,0,2026-04-14
2026-04-14 05:30:00,0.0,0,2026-04-14
2026-04-14 06:00:00,0.0,0,2026-04-14
2026-04-14 06:30:00,0.0,0,2026-04-14
2026-04-14 07:00:00,0.0,0,2026-04-14
2026-04-14 07:30:00,0.0,0,2026-04-14
2026-04-14 08:00:00,0.0,0,2026-04-14
2026-04-14 08:30:00,0.0,0,2026-04-14
2026-04-14 09:00:00,0.0,0,2026-04-14
2026-04-14 09:30:00,0.0,0,2026-04-14
2026-04-14 10:00:00,0.0,0,2026-04-14
2026-04-14 10:30:00,0.0,0,2026-04-14
2026-04-14 11:00:00,0.0,0,2026-04-14
2026-04-14 11:30:00,0.0,0,2026-04-14
2026-04-14 12:00:00,0.0,0,2026-04-14
2026-04-14 12:30:00,0.0,0,2026-04-14
2026-04-14 13:00:00,0.0,0,2026-04-14
2026-04-14 13:30:00,0.0,0,2026-04-14
2026-04-14 14:00:00,0.0,0,2026-04-14
2026-04-14 14:30:00,0.0,0,2026-04-14
2026-04-14 15:00:00,0.0,0,2026-04-14
2026-04-14 15:30:00,0.0,0,2026-04-14
2026-04-14 16:00:00,0.0,0,2026-04-14
2026-04-14 16:30:00,0.0,0,2026-04-14
2026-04-14 17:00:00,297.735,7,2026-04-14
2026-04-14 17:30:00,12.253,0,2026-04-14
2026-04-14 18:00:00,0.0,0,2026-04-14
2026-04-14 18:30:00,877.077,1,2026-04-14
2026-04-14 19:00:00,1800.0,0,2026-04-14
2026-04-14 19:30:00,1800.0,0,2026-04-14
2026-04-14 20:00:00,815.046,2,2026-04-14
2026-04-14 20:30:00,1183.869,1,2026-04-14
2026-04-14 21:00:00,242.688,3,2026-04-14
2026-04-14 21:30:00,301.77,6,2026-04-14
2026-04-14 22:00:00,917.884,5,2026-04-14
2026-04-14 22:30:00,633.085,6,2026-04-14
2026-04-14 23:00:00,583.473,4,2026-04-14
2026-04-14 23:30:00,835.959,2,2026-04-14
2026-04-15 00:00:00,123.522,3,2026-04-15
2026-04-15 00:30:00,7.223,1,2026-04-15
2026-04-15 01:00:00,105.737,2,2026-04-15
2026-04-15 01:30:00,611.506,2,2026-04-15
2026-04-15 02:00:00,73.992,2,2026-04-15
2026-04-15 02:30:00,722.297,3,2026-04-15
2026-04-15 03:00:00,305.275,2,2026-04-15
2026-04-15 03:30:00,1169.758,3,2026-04-15
2026-04-15 04:00:00,1219.091,1,2026-04-15
2026-04-15 04:30:00,203.44,1,2026-04-15
2026-04-15 05:00:00,546.095,4,2026-04-15
2026-04-15 05:30:00,830.405,2,2026-04-15
2026-04-15 06:00:00,364.952,1,2026-04-15
2026-04-15 06:30:00,245.618,1,2026-04-15
