DateTime	LogCategory	LogType	Cage	Corner	Side	LogNotes
2026-05-07 22:32:05.444	Warning	Antenna	1	1		Unregistered tag 215004961169
2026-05-07 22:36:52.579	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-07 22:36:55.855	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-07 22:38:53.151	Warning	Antenna	1	2		Unregistered tag 215004961169
2026-05-07 22:40:07.828	Warning	Antenna	1	2		Unregistered tag 215004961169
2026-05-07 22:40:18.780	Warning	Antenna	1	2		Unregistered tag 215004961169
2026-05-07 22:40:33.397	Warning	Antenna	1	2		Unregistered tag 215004961169
2026-05-07 22:40:35.924	Warning	Antenna	1	2		Unregistered tag 215004961169
2026-05-07 22:49:38.852	Warning	Antenna	1	3		Unregistered tag 215004961169
2026-05-07 22:51:31.968	Warning	Antenna	1	3		Unregistered tag 215004961169
2026-05-07 22:59:41.325	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-07 23:04:39.161	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-07 23:18:06.306	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-07 23:50:50.786	Warning	Antenna	1	2		Unregistered tag 215004961169
2026-05-08 00:04:12.035	Warning	Antenna	1	1		Unregistered tag 215004961169
2026-05-08 00:10:27.387	Warning	Antenna	1	1		Unregistered tag 215004961169
2026-05-08 00:11:50.520	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-08 00:11:53.718	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-08 00:28:54.038	Warning	Antenna	1	1		Unregistered tag 215004961169
2026-05-08 00:28:57.891	Warning	Antenna	1	1		Unregistered tag 215004961169
2026-05-08 00:29:01.214	Warning	Antenna	1	1		Unregistered tag 215004961169
2026-05-08 00:29:02.945	Warning	Antenna	1	1		Unregistered tag 215004961169
2026-05-08 00:29:09.154	Warning	Antenna	1	1		Unregistered tag 215004961169
2026-05-08 00:40:43.542	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-08 00:40:48.846	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-08 00:43:24.113	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-08 00:55:41.074	Warning	Antenna	1	2		Unregistered tag 215004961169
2026-05-08 00:55:47.486	Warning	Antenna	1	2		Unregistered tag 215004961169
2026-05-08 00:55:59.264	Warning	Antenna	1	2		Unregistered tag 215004961169
2026-05-08 01:03:04.209	Warning	Antenna	1	2		Unregistered tag 215004961169
2026-05-08 01:12:09.336	Warning	Antenna	1	3		Unregistered tag 215004961169
2026-05-08 01:30:37.593	Warning	Antenna	1	1		Unregistered tag 215004961169
2026-05-08 01:30:40.386	Warning	Antenna	1	1		Unregistered tag 215004961169
2026-05-08 01:31:21.086	Warning	Antenna	1	1		Unregistered tag 215004961169
2026-05-08 01:31:54.361	Warning	Antenna	1	1		Unregistered tag 215004961169
2026-05-08 01:34:16.976	Warning	Antenna	1	1		Unregistered tag 215004961169
2026-05-08 01:38:47.216	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-08 01:39:32.471	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-08 01:39:58.991	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-08 01:40:00.458	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-08 01:40:24.029	Warning	Antenna	1	1		Unregistered tag 215004961169
2026-05-08 01:43:31.526	Warning	Antenna	1	1		Unregistered tag 215004961169
2026-05-08 01:49:32.620	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-08 01:49:39.796	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-08 01:52:14.377	Warning	Antenna	1	2		Unregistered tag 215004961169
2026-05-08 01:52:19.275	Warning	Antenna	1	2		Unregistered tag 215004961169
