OriginalTime	Time	ProcessingTime	TimeStamp	MessageType	Address	Destination	Source	SendCounter	ReceiveCounter	Data...
2026-05-07 14:30:03.992	2026-05-07 14:30:03.992	2026-05-07 14:30:03.992	40834	FullCornerState	1	255	1	187	33	4	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	31530	954	21268	37202	0	0	0	0
2026-05-07 14:30:06.550	2026-05-07 14:30:06.550	2026-05-07 14:30:06.550	43384	FullCornerState	1	255	1	188	33	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	15107	38202	34513	41308	0	0	0	0
2026-05-07 14:30:09.093	2026-05-07 14:30:09.093	2026-05-07 14:30:09.093	45933	FullCornerState	1	255	1	189	33	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	51082	12	5632	21832	0	0	0	0
2026-05-07 14:30:11.652	2026-05-07 14:30:11.652	2026-05-07 14:30:11.652	48484	FullCornerState	1	255	1	190	33	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	25875	55346	14422	62718	0	0	0	0
2026-05-07 14:30:14.194	2026-05-07 14:30:14.194	2026-05-07 14:30:14.194	51034	FullCornerState	1	255	1	191	33	4	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	31530	954	21268	37202	0	0	0	0
2026-05-07 14:30:16.753	2026-05-07 14:30:16.753	2026-05-07 14:30:16.753	53584	FullCornerState	1	255	1	192	33	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	15107	38202	34513	41308	0	0	0	0
2026-05-07 14:30:19.296	2026-05-07 14:30:19.296	2026-05-07 14:30:19.296	56134	FullCornerState	1	255	1	193	33	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	51082	12	5632	21832	0	0	0	0
2026-05-07 14:30:21.854	2026-05-07 14:30:21.854	2026-05-07 14:30:21.854	58684	FullCornerState	1	255	1	194	33	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	25875	55346	14422	62718	0	0	0	0
2026-05-07 14:30:23.180	2026-05-07 14:30:23.180	2026-05-07 14:30:23.180	60020	State	1	255	1	195	0	0	1	0	26	254	1	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0
2026-05-07 14:30:24.397	2026-05-07 14:30:24.397	2026-05-07 14:30:24.397	61233	FullCornerState	1	255	1	196	33	4	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	31530	954	21268	37202	0	0	0	0
2026-05-07 14:30:26.955	2026-05-07 14:30:26.955	2026-05-07 14:30:26.955	63784	FullCornerState	1	255	1	197	33	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	15107	38202	34513	41308	0	0	0	0
2026-05-07 14:30:29.482	2026-05-07 14:30:29.482	2026-05-07 14:30:29.482	66334	FullCornerState	1	255	1	198	33	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	51082	12	5632	21832	0	0	0	0
2026-05-07 14:30:32.041	2026-05-07 14:30:32.041	2026-05-07 14:30:32.041	68885	FullCornerState	1	255	1	199	33	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	25875	55346	14422	62718	0	0	0	0
2026-05-07 14:30:34.584	2026-05-07 14:30:34.584	2026-05-07 14:30:34.584	71435	FullCornerState	1	255	1	200	33	4	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	31530	954	21268	37202	0	0	0	0
2026-05-07 14:30:37.142	2026-05-07 14:30:37.142	2026-05-07 14:30:37.142	73984	FullCornerState	1	255	1	201	33	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	15107	38202	34513	41308	0	0	0	0
2026-05-07 14:30:39.685	2026-05-07 14:30:39.685	2026-05-07 14:30:39.685	76535	FullCornerState	1	255	1	202	33	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	51082	12	5632	21832	0	0	0	0
2026-05-07 14:30:42.243	2026-05-07 14:30:42.243	2026-05-07 14:30:42.243	79085	FullCornerState	1	255	1	203	33	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	25875	55346	14422	62718	0	0	0	0
2026-05-07 14:30:44.786	2026-05-07 14:30:44.786	2026-05-07 14:30:44.786	81634	FullCornerState	1	255	1	204	33	4	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	31530	954	21268	37202	0	0	0	0
2026-05-07 14:30:47.344	2026-05-07 14:30:47.344	2026-05-07 14:30:47.344	84185	FullCornerState	1	255	1	205	33	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	15107	38202	34513	41308	0	0	0	0
2026-05-07 14:30:49.887	2026-05-07 14:30:49.887	2026-05-07 14:30:49.887	86735	FullCornerState	1	255	1	206	33	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	51082	12	5632	21832	0	0	0	0
2026-05-07 14:30:52.446	2026-05-07 14:30:52.446	2026-05-07 14:30:52.446	89285	FullCornerState	1	255	1	207	33	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	25875	55346	14422	62718	0	0	0	0
2026-05-07 14:30:54.988	2026-05-07 14:30:54.988	2026-05-07 14:30:54.988	91835	FullCornerState	1	255	1	208	33	4	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	31530	954	21268	37202	0	0	0	0
2026-05-07 14:30:57.547	2026-05-07 14:30:57.547	2026-05-07 14:30:57.547	94385	FullCornerState	1	255	1	209	33	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	15107	38202	34513	41308	0	0	0	0
2026-05-07 14:31:00.090	2026-05-07 14:31:00.090	2026-05-07 14:31:00.090	96935	FullCornerState	1	255	1	210	33	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	51082	12	5632	21832	0	0	0	0
2026-05-07 14:31:02.648	2026-05-07 14:31:02.648	2026-05-07 14:31:02.648	99485	FullCornerState	1	255	1	211	33	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	25875	55346	14422	62718	0	0	0	0
2026-05-07 14:31:05.191	2026-05-07 14:31:05.191	2026-05-07 14:31:05.191	102034	FullCornerState	1	255	1	212	33	4	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	31530	954	21268	37202	0	0	0	0
2026-05-07 14:31:07.749	2026-05-07 14:31:07.749	2026-05-07 14:31:07.749	104585	FullCornerState	1	255	1	213	33	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	15107	38202	34513	41308	0	0	0	0
