test,period,psd
2_control_dd,48.0,0.11620144929598522
2_control_dd,24.0,1.3696309222151797
2_control_dd,16.0,1.0744732939887662
2_control_dd,12.0,0.05546492160071048
2_control_dd,9.600000000000001,0.18062710054435674
2_control_dd,8.0,0.23994958587273302
2_control_dd,6.857142857142858,0.06396029847754861
2_control_dd,6.0,0.24320766268804822
2_control_dd,5.333333333333333,0.0161447733224329
2_control_dd,4.800000000000001,0.149558071545371
2_control_dd,4.363636363636364,0.08744875952366267
2_control_dd,4.0,0.004080756985623478
2_control_dd,3.6923076923076925,0.00671396112280383
2_control_dd,3.428571428571429,0.001135538273755764
2_control_dd,3.2,0.0005134036864151098
2_control_dd,3.0,0.00029529411220603064
2_control_dd,2.823529411764706,0.0009478614664381701
2_control_dd,2.6666666666666665,0.00021768968260969747
2_control_dd,2.5263157894736845,0.00842359291763753
2_control_dd,2.4000000000000004,0.006982111449063732
2_control_dd,2.2857142857142856,0.012694115553373632
2_control_dd,2.181818181818182,0.016260271713020975
2_control_dd,2.0869565217391304,0.008016394465782428
2_control_dd,2.0,0.02186911328000911
3_induction_dd,48.0,1.1746383614112552
3_induction_dd,24.0,2.00303544303718
3_induction_dd,16.0,0.07538396353332652
3_induction_dd,12.0,0.21393105689719705
3_induction_dd,9.600000000000001,0.04534053250338093
3_induction_dd,8.0,0.021680995343415683
3_induction_dd,6.857142857142858,0.15520846233628527
3_induction_dd,6.0,0.18334921066973356
3_induction_dd,5.333333333333333,0.11258645435690383
3_induction_dd,4.800000000000001,0.15799001540822263
3_induction_dd,4.363636363636364,0.06194510984492782
3_induction_dd,4.0,0.020687945468587435
3_induction_dd,3.6923076923076925,0.01784259544300711
3_induction_dd,3.428571428571429,0.003814899372432777
3_induction_dd,3.2,0.00129752259892016
3_induction_dd,3.0,0.00060866295297922
3_induction_dd,2.823529411764706,0.001875993426825321
3_induction_dd,2.6666666666666665,0.002317631816459593
3_induction_dd,2.5263157894736845,0.0048488379520519095
3_induction_dd,2.4000000000000004,0.005562342004701358
3_induction_dd,2.2857142857142856,0.02023326479995777
3_induction_dd,2.181818181818182,0.04485429506058368
3_induction_dd,2.0869565217391304,0.045272719144183717
3_induction_dd,2.0,0.01890759266012522
4_hypo_dd,48.0,1.0825325570759898
4_hypo_dd,24.0,2.5598682329986526
4_hypo_dd,16.0,0.5895179336443286
4_hypo_dd,12.0,0.013028314837133105
4_hypo_dd,9.600000000000001,0.18604675400657048
4_hypo_dd,8.0,0.4487576907571097
4_hypo_dd,6.857142857142858,0.21943466580743903
4_hypo_dd,6.0,0.2004968506341775
4_hypo_dd,5.333333333333333,0.027571732217785767
4_hypo_dd,4.800000000000001,0.010417203414610117
4_hypo_dd,4.363636363636364,0.010660195744880752
4_hypo_dd,4.0,0.003060417472313559
4_hypo_dd,3.6923076923076925,0.012139402783585995
4_hypo_dd,3.428571428571429,0.03274464069154744
4_hypo_dd,3.2,0.016656830272854865
4_hypo_dd,3.0,0.007994043316526232
4_hypo_dd,2.823529411764706,0.013391197044359133
4_hypo_dd,2.6666666666666665,0.0371086023844775
4_hypo_dd,2.5263157894736845,0.05023551451908785
4_hypo_dd,2.4000000000000004,0.020593401374454284
4_hypo_dd,2.2857142857142856,0.011002013178804686
4_hypo_dd,2.181818181818182,0.025659211361483608
4_hypo_dd,2.0869565217391304,0.018889200100629135
4_hypo_dd,2.0,0.004045302703089077
5_hypo_dl,28.0,1.3556330203057163
5_hypo_dl,14.0,1.5594892927373465
5_hypo_dl,9.333333333333334,0.6072220453476004
5_hypo_dl,7.0,0.2482281613851693
5_hypo_dl,5.6000000000000005,0.08657867026661997
5_hypo_dl,4.666666666666667,0.01924402397829564
5_hypo_dl,4.0,0.00880031800913836
5_hypo_dl,3.5,0.003153344769037594
5_hypo_dl,3.1111111111111116,7.361352298493533e-05
5_hypo_dl,2.8000000000000003,0.0019668124333535194
5_hypo_dl,2.5454545454545454,0.003095647828954289
5_hypo_dl,2.3333333333333335,0.00412462398526184
5_hypo_dl,2.153846153846154,0.0009044871363601265
5_hypo_dl,2.0,0.0014776452286245176
