test,period,psd
1,48.0,33.62979419572091
1,36.0,47.322967464141875
1,28.799999999999997,10541.783020657758
1,24.0,88234.99628726694
1,20.571428571428573,46086.503718308355
1,18.0,304.6425191437575
1,16.0,761.1239363228964
1,14.399999999999999,51.86050703981705
1,13.090909090909092,1621.1351566790477
1,12.0,1342.9601700066735
1,11.076923076923077,570.5727083478743
1,10.285714285714286,1682.813993943748
1,9.600000000000001,2892.524683525153
1,9.0,1025.6150117114173
1,8.470588235294118,146.89811086805383
1,8.0,1416.3192694059665
1,7.578947368421052,1490.106937323367
1,7.199999999999999,1287.9488990154869
1,6.857142857142858,957.5603160854708
1,6.545454545454546,748.7605842507045
1,6.260869565217392,285.11815631804836
1,6.0,170.83376636348518
1,5.76,233.7471355394508
1,5.538461538461538,106.67641615377997
1,5.333333333333333,2039.745664007152
1,5.142857142857143,2540.740008272528
1,4.9655172413793105,497.65429617770434
1,4.800000000000001,424.43384418437137
1,4.645161290322581,592.3082029746664
1,4.5,141.5104603665328
1,4.363636363636364,1351.6762330935599
1,4.235294117647059,1946.146140200663
1,4.114285714285715,1118.145795667557
1,4.0,704.7988465175033
1,3.891891891891892,536.079125396108
1,3.789473684210526,492.36129364017154
1,3.6923076923076925,1109.3241884879103
1,3.5999999999999996,1499.6052002332626
1,3.5121951219512195,450.1152319316269
1,3.428571428571429,49.70541226552822
1,3.3488372093023258,128.81045923218062
1,3.272727272727273,30.964704064098637
1,3.2,628.8505691311899
1,3.130434782608696,1108.562892890926
1,3.0638297872340425,157.06773500362002
1,3.0,473.1802351983497
1,2.938775510204082,240.5442012610147
1,2.88,357.9174789542736
1,2.823529411764706,244.48049500568
1,2.769230769230769,932.1602020651071
1,2.716981132075472,887.5134517954615
1,2.6666666666666665,1122.951659790495
1,2.618181818181818,1351.6221522811163
1,2.5714285714285716,1506.8499691297247
1,2.5263157894736845,939.7127825512626
1,2.4827586206896552,779.20152297436
1,2.440677966101695,547.9769102834962
1,2.4000000000000004,139.65803557020797
