Description:
Start date: 2026-05-12 00:00:00
End date: 2026-05-14 00:00:00
Sampling interval: 30T
Animal: Animal 10
Tag: 263000247208
Sex: Male
Cage: 1

Data:
date, duration, values, day
2026-05-12 00:00:00,0.0,0,2026-05-12
2026-05-12 00:30:00,0.0,0,2026-05-12
2026-05-12 01:00:00,0.0,0,2026-05-12
2026-05-12 01:30:00,0.0,0,2026-05-12
2026-05-12 02:00:00,0.0,0,2026-05-12
2026-05-12 02:30:00,0.0,0,2026-05-12
2026-05-12 03:00:00,0.0,0,2026-05-12
2026-05-12 03:30:00,0.0,0,2026-05-12
2026-05-12 04:00:00,0.0,0,2026-05-12
2026-05-12 04:30:00,0.0,0,2026-05-12
2026-05-12 05:00:00,0.0,0,2026-05-12
2026-05-12 05:30:00,0.0,0,2026-05-12
2026-05-12 06:00:00,0.0,0,2026-05-12
2026-05-12 06:30:00,0.0,0,2026-05-12
2026-05-12 07:00:00,0.0,0,2026-05-12
2026-05-12 07:30:00,0.0,0,2026-05-12
2026-05-12 08:00:00,0.0,0,2026-05-12
2026-05-12 08:30:00,0.0,0,2026-05-12
2026-05-12 09:00:00,0.0,0,2026-05-12
2026-05-12 09:30:00,0.0,0,2026-05-12
2026-05-12 10:00:00,0.0,0,2026-05-12
2026-05-12 10:30:00,0.0,0,2026-05-12
2026-05-12 11:00:00,0.0,0,2026-05-12
2026-05-12 11:30:00,0.0,0,2026-05-12
2026-05-12 12:00:00,354.362,3,2026-05-12
2026-05-12 12:30:00,1800.0,0,2026-05-12
2026-05-12 13:00:00,1535.59,0,2026-05-12
2026-05-12 13:30:00,0.0,0,2026-05-12
2026-05-12 14:00:00,0.0,0,2026-05-12
2026-05-12 14:30:00,0.0,0,2026-05-12
2026-05-12 15:00:00,0.0,0,2026-05-12
2026-05-12 15:30:00,0.0,0,2026-05-12
2026-05-12 16:00:00,502.349,1,2026-05-12
2026-05-12 16:30:00,1662.841,0,2026-05-12
2026-05-12 17:00:00,0.0,0,2026-05-12
2026-05-12 17:30:00,0.0,0,2026-05-12
2026-05-12 18:00:00,1387.786,1,2026-05-12
2026-05-12 18:30:00,1512.351,1,2026-05-12
2026-05-12 19:00:00,1184.652,0,2026-05-12
2026-05-12 19:30:00,565.454,1,2026-05-12
2026-05-12 20:00:00,362.36,2,2026-05-12
2026-05-12 20:30:00,525.452,3,2026-05-12
2026-05-12 21:00:00,497.315,4,2026-05-12
2026-05-12 21:30:00,661.602,5,2026-05-12
2026-05-12 22:00:00,806.049,2,2026-05-12
2026-05-12 22:30:00,599.511,2,2026-05-12
2026-05-12 23:00:00,168.213,2,2026-05-12
2026-05-12 23:30:00,730.44,3,2026-05-12
2026-05-13 00:00:00,905.993,3,2026-05-13
2026-05-13 00:30:00,403.13,0,2026-05-13
2026-05-13 01:00:00,436.694,6,2026-05-13
2026-05-13 01:30:00,719.246,2,2026-05-13
2026-05-13 02:00:00,920.33,2,2026-05-13
2026-05-13 02:30:00,332.724,3,2026-05-13
2026-05-13 03:00:00,1318.552,3,2026-05-13
2026-05-13 03:30:00,1046.67,0,2026-05-13
2026-05-13 04:00:00,22.308,1,2026-05-13
2026-05-13 04:30:00,0.0,0,2026-05-13
2026-05-13 05:00:00,325.104,2,2026-05-13
2026-05-13 05:30:00,600.991,4,2026-05-13
2026-05-13 06:00:00,502.327,3,2026-05-13
2026-05-13 06:30:00,287.488,10,2026-05-13
2026-05-13 07:00:00,267.559,12,2026-05-13
2026-05-13 07:30:00,157.23,6,2026-05-13
2026-05-13 08:00:00,248.618,7,2026-05-13
2026-05-13 08:30:00,884.131,6,2026-05-13
2026-05-13 09:00:00,6.583,1,2026-05-13
2026-05-13 09:30:00,1259.566,1,2026-05-13
2026-05-13 10:00:00,1443.773,1,2026-05-13
2026-05-13 10:30:00,725.204,0,2026-05-13
2026-05-13 11:00:00,1602.146,2,2026-05-13
2026-05-13 11:30:00,1560.151,0,2026-05-13
2026-05-13 12:00:00,190.944,4,2026-05-13
2026-05-13 12:30:00,143.036,3,2026-05-13
2026-05-13 13:00:00,1584.466,2,2026-05-13
2026-05-13 13:30:00,1699.942,1,2026-05-13
2026-05-13 14:00:00,1800.0,0,2026-05-13
2026-05-13 14:30:00,642.846,0,2026-05-13
2026-05-13 15:00:00,0.0,0,2026-05-13
2026-05-13 15:30:00,0.0,0,2026-05-13
2026-05-13 16:00:00,1574.411,1,2026-05-13
2026-05-13 16:30:00,1075.581,0,2026-05-13
2026-05-13 17:00:00,0.0,0,2026-05-13
2026-05-13 17:30:00,278.46,1,2026-05-13
2026-05-13 18:00:00,0.0,0,2026-05-13
2026-05-13 18:30:00,790.339,1,2026-05-13
2026-05-13 19:00:00,1107.154,1,2026-05-13
2026-05-13 19:30:00,602.715,1,2026-05-13
2026-05-13 20:00:00,670.325,0,2026-05-13
2026-05-13 20:30:00,346.212,2,2026-05-13
2026-05-13 21:00:00,627.637,5,2026-05-13
2026-05-13 21:30:00,449.732,4,2026-05-13
2026-05-13 22:00:00,264.857,2,2026-05-13
2026-05-13 22:30:00,178.215,6,2026-05-13
2026-05-13 23:00:00,338.818,3,2026-05-13
2026-05-13 23:30:00,366.772,3,2026-05-13
2026-05-14 00:00:00,644.079,2,2026-05-14
2026-05-14 00:30:00,266.198,3,2026-05-14
2026-05-14 01:00:00,964.675,2,2026-05-14
2026-05-14 01:30:00,695.449,4,2026-05-14
2026-05-14 02:00:00,619.024,4,2026-05-14
2026-05-14 02:30:00,1000.273,2,2026-05-14
2026-05-14 03:00:00,283.421,1,2026-05-14
2026-05-14 03:30:00,518.623,1,2026-05-14
2026-05-14 04:00:00,1063.602,1,2026-05-14
2026-05-14 04:30:00,1468.688,0,2026-05-14
2026-05-14 05:00:00,1413.29,1,2026-05-14
2026-05-14 05:30:00,722.572,0,2026-05-14
2026-05-14 06:00:00,696.341,1,2026-05-14
2026-05-14 06:30:00,361.302,6,2026-05-14
2026-05-14 07:00:00,518.359,12,2026-05-14
2026-05-14 07:30:00,413.391,15,2026-05-14
2026-05-14 08:00:00,187.448,6,2026-05-14
2026-05-14 08:30:00,153.929,2,2026-05-14
2026-05-14 09:00:00,1059.924,8,2026-05-14
2026-05-14 09:30:00,710.478,1,2026-05-14
2026-05-14 10:00:00,1555.143,2,2026-05-14
2026-05-14 10:30:00,1788.817,0,2026-05-14
2026-05-14 11:00:00,736.726,3,2026-05-14
2026-05-14 11:30:00,550.354,1,2026-05-14
2026-05-14 12:00:00,81.168,2,2026-05-14
2026-05-14 12:30:00,1125.597,1,2026-05-14
2026-05-14 13:00:00,363.051,0,2026-05-14
2026-05-14 13:30:00,0.0,0,2026-05-14
2026-05-14 14:00:00,0.0,0,2026-05-14
2026-05-14 14:30:00,0.0,0,2026-05-14
2026-05-14 15:00:00,0.0,0,2026-05-14
2026-05-14 15:30:00,0.0,0,2026-05-14
2026-05-14 16:00:00,182.348,2,2026-05-14
2026-05-14 16:30:00,337.085,1,2026-05-14
2026-05-14 17:00:00,0.0,0,2026-05-14
2026-05-14 17:30:00,0.0,0,2026-05-14
2026-05-14 18:00:00,0.0,0,2026-05-14
2026-05-14 18:30:00,0.0,0,2026-05-14
2026-05-14 19:00:00,0.0,0,2026-05-14
2026-05-14 19:30:00,0.0,0,2026-05-14
2026-05-14 20:00:00,0.0,0,2026-05-14
2026-05-14 20:30:00,0.0,0,2026-05-14
2026-05-14 21:00:00,0.0,0,2026-05-14
2026-05-14 21:30:00,0.0,0,2026-05-14
2026-05-14 22:00:00,0.0,0,2026-05-14
2026-05-14 22:30:00,0.0,0,2026-05-14
2026-05-14 23:00:00,0.0,0,2026-05-14
2026-05-14 23:30:00,0.0,0,2026-05-14
