Description:
Start date: 2025-03-10 00:00:00
End date: 2025-03-14 00:00:00
Sampling interval: 30T
Animal: Animal 8
Tag: 263000247299
Sex: Male
Cage: 3

Data:
date, duration, values, day
2025-03-10 00:00:00,0.0,0,2025-03-10
2025-03-10 00:30:00,0.0,0,2025-03-10
2025-03-10 01:00:00,0.0,0,2025-03-10
2025-03-10 01:30:00,0.0,0,2025-03-10
2025-03-10 02:00:00,0.0,0,2025-03-10
2025-03-10 02:30:00,0.0,0,2025-03-10
2025-03-10 03:00:00,0.0,0,2025-03-10
2025-03-10 03:30:00,0.0,0,2025-03-10
2025-03-10 04:00:00,0.0,0,2025-03-10
2025-03-10 04:30:00,0.0,0,2025-03-10
2025-03-10 05:00:00,0.0,0,2025-03-10
2025-03-10 05:30:00,0.0,0,2025-03-10
2025-03-10 06:00:00,0.0,0,2025-03-10
2025-03-10 06:30:00,0.0,0,2025-03-10
2025-03-10 07:00:00,0.0,0,2025-03-10
2025-03-10 07:30:00,0.0,0,2025-03-10
2025-03-10 08:00:00,0.0,0,2025-03-10
2025-03-10 08:30:00,0.0,0,2025-03-10
2025-03-10 09:00:00,0.0,0,2025-03-10
2025-03-10 09:30:00,0.0,0,2025-03-10
2025-03-10 10:00:00,0.0,0,2025-03-10
2025-03-10 10:30:00,0.0,0,2025-03-10
2025-03-10 11:00:00,0.0,0,2025-03-10
2025-03-10 11:30:00,0.0,0,2025-03-10
2025-03-10 12:00:00,0.0,0,2025-03-10
2025-03-10 12:30:00,0.0,0,2025-03-10
2025-03-10 13:00:00,0.0,0,2025-03-10
2025-03-10 13:30:00,0.0,0,2025-03-10
2025-03-10 14:00:00,0.0,0,2025-03-10
2025-03-10 14:30:00,0.0,0,2025-03-10
2025-03-10 15:00:00,0.0,0,2025-03-10
2025-03-10 15:30:00,651.681,2,2025-03-10
2025-03-10 16:00:00,1533.883,0,2025-03-10
2025-03-10 16:30:00,0.0,0,2025-03-10
2025-03-10 17:00:00,0.0,0,2025-03-10
2025-03-10 17:30:00,1130.956,1,2025-03-10
2025-03-10 18:00:00,6.334,1,2025-03-10
2025-03-10 18:30:00,61.885,1,2025-03-10
2025-03-10 19:00:00,123.084,2,2025-03-10
2025-03-10 19:30:00,714.429,1,2025-03-10
2025-03-10 20:00:00,806.495,0,2025-03-10
2025-03-10 20:30:00,274.483,5,2025-03-10
2025-03-10 21:00:00,701.486,4,2025-03-10
2025-03-10 21:30:00,0.0,0,2025-03-10
2025-03-10 22:00:00,422.247,8,2025-03-10
2025-03-10 22:30:00,620.21,10,2025-03-10
2025-03-10 23:00:00,459.515,6,2025-03-10
2025-03-10 23:30:00,220.569,3,2025-03-10
2025-03-11 00:00:00,431.819,8,2025-03-11
2025-03-11 00:30:00,236.128,1,2025-03-11
2025-03-11 01:00:00,742.811,9,2025-03-11
2025-03-11 01:30:00,491.039,3,2025-03-11
2025-03-11 02:00:00,219.932,2,2025-03-11
2025-03-11 02:30:00,470.544,3,2025-03-11
2025-03-11 03:00:00,407.614,4,2025-03-11
2025-03-11 03:30:00,339.782,4,2025-03-11
2025-03-11 04:00:00,389.531,8,2025-03-11
2025-03-11 04:30:00,615.425,4,2025-03-11
2025-03-11 05:00:00,367.876,1,2025-03-11
2025-03-11 05:30:00,417.44,3,2025-03-11
2025-03-11 06:00:00,367.917,7,2025-03-11
2025-03-11 06:30:00,481.988,3,2025-03-11
2025-03-11 07:00:00,0.0,0,2025-03-11
2025-03-11 07:30:00,42.433,3,2025-03-11
2025-03-11 08:00:00,8.003,1,2025-03-11
2025-03-11 08:30:00,35.989,1,2025-03-11
2025-03-11 09:00:00,0.0,0,2025-03-11
2025-03-11 09:30:00,0.0,0,2025-03-11
2025-03-11 10:00:00,0.0,0,2025-03-11
2025-03-11 10:30:00,101.478,1,2025-03-11
2025-03-11 11:00:00,0.0,0,2025-03-11
2025-03-11 11:30:00,0.0,0,2025-03-11
2025-03-11 12:00:00,0.0,0,2025-03-11
2025-03-11 12:30:00,0.0,0,2025-03-11
2025-03-11 13:00:00,0.0,0,2025-03-11
2025-03-11 13:30:00,30.28,1,2025-03-11
2025-03-11 14:00:00,1735.362,1,2025-03-11
2025-03-11 14:30:00,904.273,0,2025-03-11
2025-03-11 15:00:00,0.0,0,2025-03-11
2025-03-11 15:30:00,537.018,2,2025-03-11
2025-03-11 16:00:00,1798.041,0,2025-03-11
2025-03-11 16:30:00,0.0,0,2025-03-11
2025-03-11 17:00:00,0.0,0,2025-03-11
2025-03-11 17:30:00,1086.26,3,2025-03-11
2025-03-11 18:00:00,1113.238,2,2025-03-11
2025-03-11 18:30:00,1800.0,0,2025-03-11
2025-03-11 19:00:00,1783.074,0,2025-03-11
2025-03-11 19:30:00,0.0,0,2025-03-11
2025-03-11 20:00:00,0.0,0,2025-03-11
2025-03-11 20:30:00,317.976,2,2025-03-11
2025-03-11 21:00:00,142.131,2,2025-03-11
2025-03-11 21:30:00,801.778,6,2025-03-11
2025-03-11 22:00:00,484.21,8,2025-03-11
2025-03-11 22:30:00,412.044,3,2025-03-11
2025-03-11 23:00:00,641.359,5,2025-03-11
2025-03-11 23:30:00,92.008,6,2025-03-11
2025-03-12 00:00:00,476.114,4,2025-03-12
2025-03-12 00:30:00,101.697,4,2025-03-12
2025-03-12 01:00:00,222.674,2,2025-03-12
2025-03-12 01:30:00,682.829,2,2025-03-12
2025-03-12 02:00:00,391.98,5,2025-03-12
2025-03-12 02:30:00,242.986,5,2025-03-12
2025-03-12 03:00:00,326.195,4,2025-03-12
2025-03-12 03:30:00,108.358,8,2025-03-12
2025-03-12 04:00:00,321.562,8,2025-03-12
2025-03-12 04:30:00,730.128,3,2025-03-12
2025-03-12 05:00:00,167.671,1,2025-03-12
2025-03-12 05:30:00,283.014,3,2025-03-12
2025-03-12 06:00:00,604.407,5,2025-03-12
2025-03-12 06:30:00,524.286,5,2025-03-12
2025-03-12 07:00:00,319.816,1,2025-03-12
2025-03-12 07:30:00,289.494,8,2025-03-12
2025-03-12 08:00:00,1522.896,1,2025-03-12
2025-03-12 08:30:00,1429.25,0,2025-03-12
2025-03-12 09:00:00,0.0,0,2025-03-12
2025-03-12 09:30:00,3.604,1,2025-03-12
2025-03-12 10:00:00,1255.275,2,2025-03-12
2025-03-12 10:30:00,1747.589,1,2025-03-12
2025-03-12 11:00:00,0.0,0,2025-03-12
2025-03-12 11:30:00,0.0,0,2025-03-12
2025-03-12 12:00:00,0.0,0,2025-03-12
2025-03-12 12:30:00,0.0,0,2025-03-12
2025-03-12 13:00:00,0.0,0,2025-03-12
2025-03-12 13:30:00,0.0,0,2025-03-12
2025-03-12 14:00:00,0.0,0,2025-03-12
2025-03-12 14:30:00,1636.411,1,2025-03-12
2025-03-12 15:00:00,1799.142,1,2025-03-12
2025-03-12 15:30:00,1407.82,0,2025-03-12
2025-03-12 16:00:00,0.0,0,2025-03-12
2025-03-12 16:30:00,235.046,3,2025-03-12
2025-03-12 17:00:00,0.0,0,2025-03-12
2025-03-12 17:30:00,0.0,0,2025-03-12
2025-03-12 18:00:00,0.0,0,2025-03-12
2025-03-12 18:30:00,27.721,1,2025-03-12
2025-03-12 19:00:00,0.0,0,2025-03-12
2025-03-12 19:30:00,0.0,0,2025-03-12
2025-03-12 20:00:00,0.0,0,2025-03-12
2025-03-12 20:30:00,41.325,1,2025-03-12
2025-03-12 21:00:00,133.301,3,2025-03-12
2025-03-12 21:30:00,2.215,1,2025-03-12
2025-03-12 22:00:00,623.86,7,2025-03-12
2025-03-12 22:30:00,743.821,4,2025-03-12
2025-03-12 23:00:00,303.16,3,2025-03-12
2025-03-12 23:30:00,280.083,4,2025-03-12
2025-03-13 00:00:00,462.369,5,2025-03-13
2025-03-13 00:30:00,183.488,5,2025-03-13
2025-03-13 01:00:00,394.259,5,2025-03-13
2025-03-13 01:30:00,612.455,4,2025-03-13
2025-03-13 02:00:00,213.533,6,2025-03-13
2025-03-13 02:30:00,121.695,4,2025-03-13
2025-03-13 03:00:00,1087.557,3,2025-03-13
2025-03-13 03:30:00,989.261,1,2025-03-13
2025-03-13 04:00:00,469.39,1,2025-03-13
2025-03-13 04:30:00,83.702,1,2025-03-13
2025-03-13 05:00:00,320.572,2,2025-03-13
2025-03-13 05:30:00,326.935,2,2025-03-13
2025-03-13 06:00:00,156.634,3,2025-03-13
2025-03-13 06:30:00,909.593,6,2025-03-13
2025-03-13 07:00:00,635.449,0,2025-03-13
2025-03-13 07:30:00,3.729,1,2025-03-13
2025-03-13 08:00:00,439.424,5,2025-03-13
2025-03-13 08:30:00,1703.14,3,2025-03-13
2025-03-13 09:00:00,542.338,0,2025-03-13
2025-03-13 09:30:00,0.0,0,2025-03-13
2025-03-13 10:00:00,0.0,0,2025-03-13
2025-03-13 10:30:00,0.0,0,2025-03-13
2025-03-13 11:00:00,0.0,0,2025-03-13
2025-03-13 11:30:00,0.0,0,2025-03-13
2025-03-13 12:00:00,0.0,0,2025-03-13
2025-03-13 12:30:00,0.0,0,2025-03-13
2025-03-13 13:00:00,0.0,0,2025-03-13
2025-03-13 13:30:00,1514.839,2,2025-03-13
2025-03-13 14:00:00,1800.0,0,2025-03-13
2025-03-13 14:30:00,517.027,0,2025-03-13
2025-03-13 15:00:00,1175.838,1,2025-03-13
2025-03-13 15:30:00,1697.578,0,2025-03-13
2025-03-13 16:00:00,827.705,1,2025-03-13
2025-03-13 16:30:00,497.423,0,2025-03-13
2025-03-13 17:00:00,751.684,4,2025-03-13
2025-03-13 17:30:00,184.864,0,2025-03-13
2025-03-13 18:00:00,823.815,6,2025-03-13
2025-03-13 18:30:00,1800.0,0,2025-03-13
2025-03-13 19:00:00,1800.0,0,2025-03-13
2025-03-13 19:30:00,553.748,0,2025-03-13
2025-03-13 20:00:00,0.0,0,2025-03-13
2025-03-13 20:30:00,121.321,1,2025-03-13
2025-03-13 21:00:00,393.494,3,2025-03-13
2025-03-13 21:30:00,303.997,5,2025-03-13
2025-03-13 22:00:00,491.761,2,2025-03-13
2025-03-13 22:30:00,333.92,6,2025-03-13
2025-03-13 23:00:00,312.031,4,2025-03-13
2025-03-13 23:30:00,886.548,3,2025-03-13
2025-03-14 00:00:00,357.647,5,2025-03-14
2025-03-14 00:30:00,116.032,5,2025-03-14
2025-03-14 01:00:00,361.968,5,2025-03-14
2025-03-14 01:30:00,636.545,2,2025-03-14
2025-03-14 02:00:00,795.805,6,2025-03-14
2025-03-14 02:30:00,658.15,2,2025-03-14
2025-03-14 03:00:00,1.888,1,2025-03-14
2025-03-14 03:30:00,552.553,5,2025-03-14
2025-03-14 04:00:00,526.871,3,2025-03-14
2025-03-14 04:30:00,417.352,9,2025-03-14
2025-03-14 05:00:00,522.32,3,2025-03-14
2025-03-14 05:30:00,613.455,2,2025-03-14
2025-03-14 06:00:00,477.501,1,2025-03-14
2025-03-14 06:30:00,472.025,4,2025-03-14
