test,period,psd
1,36.0,6815.107672107161
1,24.0,30613.249431016724
1,18.0,10025.332013019464
1,14.399999999999999,2078.0011320676163
1,12.0,656.0937414417605
1,10.285714285714286,4103.716852445146
1,9.0,620.1853242081584
1,8.0,1804.9787085219361
1,7.199999999999999,3893.7845467556745
1,6.545454545454546,5714.20093931906
1,6.0,2521.9184322813217
1,5.538461538461538,1988.0384926161419
1,5.142857142857143,5625.112824756238
1,4.800000000000001,266.2845512831724
1,4.5,3092.3709999082575
1,4.235294117647059,2046.7140880860347
1,4.0,180.5992424049175
1,3.789473684210526,4851.456776507152
1,3.5999999999999996,1214.9643676291296
1,3.428571428571429,4021.940583788574
1,3.272727272727273,296.4165096089783
1,3.130434782608696,2914.582264524232
1,3.0,920.0208333333333
1,2.88,931.8201920752317
1,2.769230769230769,555.960260973069
1,2.6666666666666665,616.1302902987563
1,2.5714285714285716,1030.2975639554484
1,2.4827586206896552,3255.1214652406106
1,2.4000000000000004,112.32388760058763
1,2.3225806451612905,377.8481429986123
1,2.25,1884.1299544801332
1,2.181818181818182,486.3256683363843
1,2.1176470588235294,2152.7685885071514
1,2.0571428571428574,833.5724731618874
1,2.0,887.2222222222222
1,1.945945945945946,3570.2341344249967
1,1.894736842105263,2367.313757318252
1,1.8461538461538463,860.6286053992048
1,1.7999999999999998,345.2912798513312
1,1.7560975609756098,2730.4093084332294
1,1.7142857142857144,700.1707255026031
1,1.6744186046511629,11566.858210469667
1,1.6363636363636365,3671.158079920941
1,1.6,2713.4138215666735
1,1.565217391304348,5630.880950373649
1,1.5319148936170213,4472.823828562524
1,1.5,780.6319444444442
1,1.469387755102041,6075.038700462604
1,1.44,381.44995018006216
1,1.411764705882353,1458.261270005872
1,1.3846153846153846,4796.710463439331
1,1.358490566037736,3997.7382639940233
1,1.3333333333333333,150.90075759508252
1,1.309090909090909,3681.723050628061
1,1.2857142857142858,2274.2525626071774
1,1.2631578947368423,3357.2061284423726
1,1.2413793103448276,3218.948788213775
1,1.2203389830508475,8316.91786516352
1,1.2000000000000002,852.3176788297887
1,1.180327868852459,498.31957356326353
1,1.1612903225806452,1612.9866851590882
1,1.1428571428571428,1698.1994018348566
1,1.125,4403.353212278272
1,1.1076923076923078,10.966254070274987
1,1.090909090909091,2557.7449787883806
1,1.0746268656716418,5299.184094043249
1,1.0588235294117647,4124.954178702344
1,1.0434782608695652,1152.2148728388006
1,1.0285714285714287,655.4361327135573
1,1.0140845070422535,2331.7293707215204
1,1.0,578.0
2,36.0,668.820515869119
2,24.0,70925.31151871201
2,18.0,3506.492398748065
2,14.399999999999999,4982.197851705097
2,12.0,6759.372443181288
2,10.285714285714286,936.0435646593669
2,9.0,2279.512614799451
2,8.0,6490.418618958503
2,7.199999999999999,3567.118187659665
2,6.545454545454546,4714.45362286328
2,6.0,6298.959949917624
2,5.538461538461538,1908.8876015012743
2,5.142857142857143,2527.194085910926
2,4.800000000000001,7129.3262553823715
2,4.5,2413.399839505702
2,4.235294117647059,8816.943757005629
2,4.0,4124.012100122723
2,3.789473684210526,239.11569366458923
2,3.5999999999999996,246.45721065764178
2,3.428571428571429,696.5933751045014
2,3.272727272727273,545.181270056477
2,3.130434782608696,1258.0102866479492
2,3.0,11043.38194444444
2,2.88,364.26336036701605
2,2.769230769230769,1297.9780065621026
2,2.6666666666666665,478.5991373376448
2,2.5714285714285716,2334.021143229278
2,2.4827586206896552,2940.5526801188475
2,2.4000000000000004,2279.131610275324
2,2.3225806451612905,4471.128896932798
2,2.25,3897.0159478630867
2,2.181818181818182,1875.7494018750078
2,2.1176470588235294,2479.9805716734413
2,2.0571428571428574,810.446900067007
2,2.0,1332.3680555555554
2,1.945945945945946,3329.1103955001095
2,1.894736842105263,1983.479439774834
2,1.8461538461538463,3702.7329340232664
2,1.7999999999999998,2887.3388099978692
2,1.7560975609756098,4993.998955585558
2,1.7142857142857144,4347.86476983309
2,1.6744186046511629,2316.058166938353
2,1.6363636363636365,1648.8307932640805
2,1.6,231.39797917728194
2,1.565217391304348,3422.1859347242057
2,1.5319148936170213,201.01985265873844
2,1.5,1521.0069444444446
2,1.469387755102041,4425.919819208121
2,1.44,1073.603565199768
2,1.411764705882353,1377.3809468673708
2,1.3846153846153846,2045.73269529546
2,1.358490566037736,1790.7510330432262
2,1.3333333333333333,4053.8906776550566
2,1.309090909090909,589.5897009244163
2,1.2857142857142858,794.1277418693463
2,1.2631578947368423,498.9498352094647
2,1.2413793103448276,1914.8918618059465
2,1.2203389830508475,3719.920699336937
2,1.2000000000000002,876.3178278601491
2,1.180327868852459,273.4133126091825
2,1.1612903225806452,235.9642525049873
2,1.1428571428571428,1168.9453756376781
2,1.125,4661.688379297875
2,1.1076923076923078,536.2258416825952
2,1.090909090909091,4379.520065599187
2,1.0746268656716418,3713.4010506938225
2,1.0588235294117647,997.6324254721367
2,1.0434782608695652,3290.5112883815386
2,1.0285714285714287,2048.685641591856
2,1.0140845070422535,756.787486549243
2,1.0,310.42013888888914
