animal,total_activity,mean_activity,std_activity,max_activity,min_activity,cv_activity,median_activity,max_median_ratio,activity_per_hour,activity_skew,activity_kurtosis,gini_coefficient,high_activity_frac
animal_1,698.0,1.4572025052192066,2.190634148917636,12.000000000000002,-1.4571428571428584,1.5033148385838795,0.3428571428571429,34.999999897916666,29.083333333333332,1.9696111922458377,4.544372782592442,0.722733180823395,0.24843423799582465
animal_2,450.0,0.9394572025052192,1.6266870827549913,8.22857142857143,-0.9428571428571436,1.7315180280880906,0.0,8228571428.571429,18.75,2.0221928626695216,4.015462150889633,0.795662922092977,0.25052192066805845
animal_3,262.0,0.5469728601252609,0.9779684404867011,5.142857142857144,-0.8571428571428579,1.7879652022638544,0.0,5142857142.857143,10.916666666666666,1.8586382965678239,3.2147082492655716,0.8216750181562227,0.25052192066805845
animal_4,478.0,0.9979123173277662,1.645381746154773,8.914285714285716,-1.0285714285714294,1.6488239673810383,0.0,8914285714.285715,19.916666666666668,2.0415888115344694,4.524420128760828,0.7716237379377915,0.24843423799582465
animal_5,416.0,0.8684759916492694,1.3713754190334544,6.171428571428573,-1.1142857142857152,1.5790596772043861,0.0,6171428571.428573,17.333333333333332,1.4320940077119622,1.277571576225661,0.7816676799192364,0.25052192066805845
animal_6,447.0,0.9331941544885177,1.5052041399043954,8.571428571428573,-0.9428571428571436,1.6129592461167905,0.22857142857142843,37.49999983593753,18.625,2.203964470969145,5.767401599741536,0.7543109079251129,0.23382045929018788
animal_7,912.0,1.9039665970772444,2.7820890837570937,16.45714285714286,-1.1142857142857152,1.461206876227684,0.6285714285714274,26.18181814016534,38.0,1.8110898905875927,3.7331101499799484,0.7135479617624398,0.24634655532359082
animal_8,510.0,1.0647181628392484,1.4852494374673875,7.200000000000001,-1.1428571428571441,1.3949695696997622,0.3428571428571429,20.999999938749998,21.25,1.4569187419215603,1.7351366850603034,0.7068437395835094,0.2359081419624217
animal_9,766.0,1.5991649269311066,2.394734065363446,13.371428571428574,-1.22857142857143,1.4974903620223114,0.3428571428571429,38.999999886249995,31.916666666666668,1.9623090954640947,4.715008953981956,0.7222715482569242,0.25052192066805845
animal_10,756.0,1.5782881002087683,2.548950499175889,16.2,-1.1142857142857152,1.6150096416736122,0.371428571428571,43.61538449795862,31.5,2.284755278102687,6.386989061412152,0.7434586731932342,0.25052192066805845
animal_11,721.0,1.5052192066805845,2.308578769295978,12.685714285714289,-2.6571428571428592,1.533715992361683,0.371428571428571,34.15384606189354,30.041666666666668,1.9699651202433255,4.3249731657720725,0.7306078602266004,0.23799582463465555
animal_12,446.0,0.9311064718162839,1.6054364875759781,9.600000000000001,-1.514285714285716,1.7242243891230797,0.14285714285714263,67.19999952960012,18.583333333333332,2.471943668804515,7.599493820821095,0.7777809578197075,0.24008350730688935
