test,period,psd
2_control_dd,48.0,0.008090296773241676
2_control_dd,24.0,4.057443656423464
2_control_dd,16.0,0.13009447609661368
2_control_dd,12.0,0.2602163327923321
2_control_dd,9.600000000000001,0.008034700816697922
2_control_dd,8.0,0.043669580875974785
2_control_dd,6.857142857142858,0.22477378986834068
2_control_dd,6.0,0.12161175895788591
2_control_dd,5.333333333333333,0.009034232215270324
2_control_dd,4.800000000000001,0.009908502918214969
2_control_dd,4.363636363636364,0.025936648341999314
2_control_dd,4.0,0.01812026350622102
2_control_dd,3.6923076923076925,0.0024463728635769105
2_control_dd,3.428571428571429,0.006961326958888802
2_control_dd,3.2,0.0010755263870098196
2_control_dd,3.0,7.926693187229434e-06
2_control_dd,2.823529411764706,0.0020858242019882313
2_control_dd,2.6666666666666665,0.002376226329123795
2_control_dd,2.5263157894736845,0.0020561628564779613
2_control_dd,2.4000000000000004,0.012900135642585618
2_control_dd,2.2857142857142856,0.0005085373233768215
2_control_dd,2.181818181818182,0.002479217458810759
2_control_dd,2.0869565217391304,0.006823161385924006
2_control_dd,2.0,7.69886949800404e-07
3_induction_dd,48.0,0.027983398579386184
3_induction_dd,24.0,4.022507805704378
3_induction_dd,16.0,0.017059699734882687
3_induction_dd,12.0,0.054423412109831294
3_induction_dd,9.600000000000001,0.015008973759466474
3_induction_dd,8.0,0.38031941090037835
3_induction_dd,6.857142857142858,0.030519907116840706
3_induction_dd,6.0,0.03350406709878259
3_induction_dd,5.333333333333333,0.10273718035336844
3_induction_dd,4.800000000000001,0.1440085031505252
3_induction_dd,4.363636363636364,0.014622577059035458
3_induction_dd,4.0,0.021486690184751113
3_induction_dd,3.6923076923076925,0.024177437196789407
3_induction_dd,3.428571428571429,0.010601575768798867
3_induction_dd,3.2,0.008051965292610113
3_induction_dd,3.0,0.002428433449102536
3_induction_dd,2.823529411764706,0.004857155452764655
3_induction_dd,2.6666666666666665,0.001689290912286868
3_induction_dd,2.5263157894736845,0.018468176242960595
3_induction_dd,2.4000000000000004,0.003309247855941741
3_induction_dd,2.2857142857142856,0.005461127707505124
3_induction_dd,2.181818181818182,0.009417143905784608
3_induction_dd,2.0869565217391304,0.05440542227910268
3_induction_dd,2.0,0.00028850631024080793
4_hypo_dd,48.0,0.22312774026122512
4_hypo_dd,24.0,3.9514675023606896
4_hypo_dd,16.0,0.035215666749941796
4_hypo_dd,12.0,0.20220923122518353
4_hypo_dd,9.600000000000001,0.0032061094553142
4_hypo_dd,8.0,0.33999852842553363
4_hypo_dd,6.857142857142858,0.0016026379569979857
4_hypo_dd,6.0,0.053140399926266846
4_hypo_dd,5.333333333333333,0.018366172646274288
4_hypo_dd,4.800000000000001,0.17423471200893137
4_hypo_dd,4.363636363636364,0.024210109785010703
4_hypo_dd,4.0,0.01207503639956685
4_hypo_dd,3.6923076923076925,0.009823222656390256
4_hypo_dd,3.428571428571429,5.705156611983377e-05
4_hypo_dd,3.2,0.0013169362546124781
4_hypo_dd,3.0,0.00031024614041572985
4_hypo_dd,2.823529411764706,2.4684856964124686e-05
4_hypo_dd,2.6666666666666665,0.004378836879145933
4_hypo_dd,2.5263157894736845,0.005860851454508065
4_hypo_dd,2.4000000000000004,0.0020036724432301494
4_hypo_dd,2.2857142857142856,0.03000183493241908
4_hypo_dd,2.181818181818182,0.0011154769208203508
4_hypo_dd,2.0869565217391304,0.0050552329331673
4_hypo_dd,2.0,0.008559041280418598
5_hypo_dl,28.0,2.42915728004844
5_hypo_dl,14.0,0.8576997784916665
5_hypo_dl,9.333333333333334,0.04979795338776522
5_hypo_dl,7.0,0.0691121756853952
5_hypo_dl,5.6000000000000005,0.014395764521779772
5_hypo_dl,4.666666666666667,0.008590977152626786
5_hypo_dl,4.0,0.045473015873015867
5_hypo_dl,3.5,0.000907947448948621
5_hypo_dl,3.1111111111111116,0.008300854795594628
5_hypo_dl,2.8000000000000003,0.009836228482690584
5_hypo_dl,2.5454545454545454,0.00408968032764693
5_hypo_dl,2.3333333333333335,0.0047354324212117134
5_hypo_dl,2.153846153846154,0.01136322882353579
5_hypo_dl,2.0,0.01173968253968253
