test,period,psd
2_control_dd,48.0,0.36149367380648423
2_control_dd,24.0,4.194330120516604
2_control_dd,16.0,0.1065125756246438
2_control_dd,12.0,0.12494497217417339
2_control_dd,9.600000000000001,0.298488461233498
2_control_dd,8.0,0.15369891554964205
2_control_dd,6.857142857142858,0.11360171131536251
2_control_dd,6.0,0.06315385128885741
2_control_dd,5.333333333333333,0.029047371295910313
2_control_dd,4.800000000000001,0.02304618879192205
2_control_dd,4.363636363636364,0.014886695749274592
2_control_dd,4.0,0.03448618446613596
2_control_dd,3.6923076923076925,0.0067143332364888
2_control_dd,3.428571428571429,0.004993857081861614
2_control_dd,3.2,0.002100326096924788
2_control_dd,3.0,0.0006446219506732165
2_control_dd,2.823529411764706,0.004163485803229694
2_control_dd,2.6666666666666665,0.0007563463515854979
2_control_dd,2.5263157894736845,0.0096034229869186
2_control_dd,2.4000000000000004,0.005024288251999605
2_control_dd,2.2857142857142856,0.0018032264102713792
2_control_dd,2.181818181818182,0.0014544584705740442
2_control_dd,2.0869565217391304,0.012022928843572738
2_control_dd,2.0,0.006008127878266715
3_induction_dd,48.0,0.0017901712630195008
3_induction_dd,24.0,3.9313824027745303
3_induction_dd,16.0,0.23036092942284428
3_induction_dd,12.0,0.04479312507674952
3_induction_dd,9.600000000000001,0.09812994562541003
3_induction_dd,8.0,0.2895257167362463
3_induction_dd,6.857142857142858,0.45763098026571536
3_induction_dd,6.0,0.025105761054421798
3_induction_dd,5.333333333333333,0.02911027303341105
3_induction_dd,4.800000000000001,0.11904422536867955
3_induction_dd,4.363636363636364,0.0007124302804660897
3_induction_dd,4.0,0.07702434098639453
3_induction_dd,3.6923076923076925,0.007702109590129631
3_induction_dd,3.428571428571429,0.006870332923450661
3_induction_dd,3.2,0.00018234720084330037
3_induction_dd,3.0,0.00011532738095238107
3_induction_dd,2.823529411764706,0.00013881972107307184
3_induction_dd,2.6666666666666665,0.0035668640460666413
3_induction_dd,2.5263157894736845,0.009321097742042352
3_induction_dd,2.4000000000000004,0.0021748808756314082
3_induction_dd,2.2857142857142856,0.009084758166030639
3_induction_dd,2.181818181818182,0.0007552285591892096
3_induction_dd,2.0869565217391304,0.009350168301259577
3_induction_dd,2.0,0.0008333333333333371
4_hypo_dd,48.0,0.18674702358246875
4_hypo_dd,24.0,3.8245462626959825
4_hypo_dd,16.0,0.10420660209576757
4_hypo_dd,12.0,0.2712310398905012
4_hypo_dd,9.600000000000001,0.00377868642485882
4_hypo_dd,8.0,0.32885869282796976
4_hypo_dd,6.857142857142858,0.017695664979418727
4_hypo_dd,6.0,0.02093402799597615
4_hypo_dd,5.333333333333333,0.0010556301018373776
4_hypo_dd,4.800000000000001,0.026803771574423353
4_hypo_dd,4.363636363636364,0.01966510539915918
4_hypo_dd,4.0,0.006159088677988717
4_hypo_dd,3.6923076923076925,0.0033828511604046983
4_hypo_dd,3.428571428571429,0.0008328927830311018
4_hypo_dd,3.2,0.0017677245307743676
4_hypo_dd,3.0,0.0010036359853124702
4_hypo_dd,2.823529411764706,0.002000014351696791
4_hypo_dd,2.6666666666666665,0.0046688214908323575
4_hypo_dd,2.5263157894736845,0.003343737854805403
4_hypo_dd,2.4000000000000004,0.0006228826641139246
4_hypo_dd,2.2857142857142856,0.022828521455438625
4_hypo_dd,2.181818181818182,0.005196835656432545
4_hypo_dd,2.0869565217391304,0.011023754902400606
4_hypo_dd,2.0,0.0020760953808771484
5_hypo_dl,28.0,1.8915018235131964
5_hypo_dl,14.0,1.1365420895770841
5_hypo_dl,9.333333333333334,0.027041593133254736
5_hypo_dl,7.0,0.0029576623301412136
5_hypo_dl,5.6000000000000005,0.1060688878200631
5_hypo_dl,4.666666666666667,0.016795098835681053
5_hypo_dl,4.0,0.01793675289045661
5_hypo_dl,3.5,0.003208651728147033
5_hypo_dl,3.1111111111111116,0.0068334233381563605
5_hypo_dl,2.8000000000000003,0.006336043019725006
5_hypo_dl,2.5454545454545454,0.006337372940889163
5_hypo_dl,2.3333333333333335,0.000496433345199896
5_hypo_dl,2.153846153846154,0.028170749930512412
5_hypo_dl,2.0,2.7557319223985916e-05
