animal,total_activity,mean_activity,std_activity,max_activity,min_activity,cv_activity,median_activity,max_median_ratio,activity_per_hour,activity_skew,activity_kurtosis,gini_coefficient,high_activity_frac,actual_rank
animal_1,2077.0,1.5465376023827253,2.0427382143289727,13.714285714285717,-1.8000000000000014,1.320846134734622,0.8857142857142858,15.483870950260147,86.54166666666667,1.8683361941673489,4.344174271608685,0.658912211728057,0.2285927029039464,
animal_2,1370.0,1.0201042442293373,1.3968006554268986,7.5428571428571445,-0.8571428571428579,1.3692724673272443,0.3428571428571429,21.999999935833333,57.083333333333336,1.4717122519083432,1.9072280845472989,0.6988104231806362,0.2501861504095309,
animal_3,1067.0,0.7944899478778853,1.2407781552701211,7.200000000000001,-1.22857142857143,1.5617292057429923,0.14285714285714263,50.39999964720009,44.458333333333336,1.7341284979142597,3.0589856471184955,0.7609454297420146,0.233060312732688,
animal_4,2225.0,1.6567386448250185,2.2893999360963386,13.371428571428574,-1.3714285714285726,1.381871511989835,0.6857142857142858,19.499999971562502,92.70833333333333,1.667565912190261,2.5633611923506354,0.6858434233030428,0.2501861504095309,
animal_5,2039.0,1.5182427401340284,1.9736094917902502,11.314285714285717,-1.0857142857142872,1.2999301360835243,0.6857142857142858,16.499999975937502,84.95833333333333,1.5209923958256455,2.0632819996366774,0.6633467926439636,0.23008190618019358,
animal_6,1435.0,1.0685033507073716,1.4060346388853582,8.571428571428573,-1.8857142857142872,1.3158916515839971,0.6285714285714283,13.63636361466943,59.791666666666664,1.639926946955734,3.016183182546923,0.6681341557926035,0.22114668652271036,
animal_7,2300.0,1.712583767684289,2.1013652758907426,12.685714285714289,-1.971428571428573,1.2270145937048988,1.0285714285714285,12.333333321342595,95.83333333333333,1.4990734515118151,2.3671535776790193,0.6337795331671465,0.24125093075204765,
animal_8,1945.0,1.4482501861504096,1.8055781548143985,10.971428571428573,-1.8000000000000014,1.246730828748451,0.8285714285714278,13.241379294363867,81.04166666666667,1.6355099957938584,2.9406151499215287,0.6349555002763196,0.24720774385703648,
animal_9,2205.0,1.6418466120625466,1.9578983683684539,12.000000000000002,-2.2285714285714304,1.1924977363804234,1.0285714285714287,11.666666655324073,91.875,1.3740458631956347,2.2464853189286966,0.6269886761214423,0.2315711094564408,
animal_10,1646.0,1.225614296351452,1.6786989362742284,9.257142857142858,-1.4571428571428584,1.36967963026506,0.6857142857142858,13.4999999803125,68.58333333333333,1.697489083491365,2.8775108155522497,0.6856980520802374,0.2501861504095309,
animal_11,1970.0,1.4668652271034996,2.0353079560705227,12.342857142857145,-1.8857142857142872,1.387522124366859,0.6857142857142858,17.99999997375,82.08333333333333,1.686566333686521,2.9721246426513375,0.6922953762884054,0.23752792256142963,
animal_12,2009.0,1.4959046909903202,2.1085410909723423,11.657142857142858,-1.4571428571428584,1.4095424017799183,0.6857142857142858,16.999999975208333,83.70833333333333,1.895130219168762,3.8528406108339706,0.6895288402486648,0.2501861504095309,
