animal,day_activity,night_activity,day_night_ratio,day_mean_activity,night_mean_activity,day_cv_activity,night_cv_activity,daynight_log_ratio,peak_hour,num_bouts,num_bouts_day,num_bouts_night,bout_rate_day,bout_rate_night,bout_rate_ratio,mean_bout_len,median_bout_len,p95_bout_len,bout_len_skew,bout_len_kurt,bout_len_cv,short_bout_frac,transitions_per_hour,ibi_mean,ibi_median,ibi_max,ibi_p75,ibi_p90,ibi_skew,ibi_kurt,ibi_cv,short_gap_frac,day_frac,night_frac,day_minus_night,activity_per_bout,hourly_entropy,hourly_entropy_norm,peak_to_mean_ratio,power_24h,power_12h,power_8h,rhythm_ratio_24_over_harm,daily_total_cv,daily_peak_std,fano_30m,cosinor_mesor,cosinor_amplitude,cosinor_acrophase,relative_amplitude,interdaily_stability,intradaily_variability,activity_offset,longest_inactive_run,longest_active_run,active_fraction_day,active_fraction_night,rolling_std_1h,autocorr_24h,autocorr_12h,night_ibi_median,night_ibi_cv,night_bout_len_mean,night_bout_len_cv,night_transitions_per_hour,night_onset_latency_h,night_first_2h_frac,night_gini,night_peak_hour,night_activity_per_bout,night_day_intensity_ratio
animal_1,1029.1142857142856,1047.8857142857144,0.9820863780128694,1.5314200680272108,1.5616776665956995,1.4970981293326786,1.1262108200764782,-0.018058623091795845,12,149,57,92,4.75,7.666666666666667,0.6195652173104914,0.5637583892617449,0.25,1.25,1.7023884451118558,3.689798474728615,0.7232204082542202,0.8993288590604027,0.8875651526406924,1.6783333333333332,0.25,17.0,1.9375,5.274999999999999,2.8007324205434845,9.678128525018776,1.6640014154354692,0.6933333333333334,0.4954811197466491,0.5045188802528694,-18.771428571428714,13.939597315342688,1.787153987663186,0.5623422645005856,95449945835.30283,26304.0319928891,164161.19103227148,70193.97971949515,0.11224003254765268,0.42172229909489994,5.630867310340981,3004565775.5389614,4.6658937759364145e-05,0.2411755290199782,3.9934801963790534,0.999999999140393,0.38165527479449224,0.9826241628688518,23.0,17.0,2.25,0.2321428571425117,0.26825633382970454,0.4039716031625248,0.5373810961506078,0.1563424249070767,0.25,1.5546745094289136,0.5,0.6591841986772091,1.0014903129597528,5.0,0.0,0.0,1.0,-0.36382339442210426,-0.020151244394475975
animal_2,583.0857142857143,786.9142857142857,0.7409774163096362,0.867687074829932,1.1727485629124974,1.5099776928743838,1.2480120789290883,-0.29934156637165543,1,143,66,79,5.5,6.583333333333333,0.8354430378477808,0.5874125874125874,0.5,1.25,1.9536921946600987,5.323621185825095,0.7587593169033715,0.8811188811188811,0.8518242740108658,1.7482638888888888,0.25,16.75,2.25,4.675000000000004,2.695756547256022,8.557765519625235,1.6226254032915857,0.6597222222222222,0.425610010427218,0.5743899895720521,-203.82857142857142,9.580419580352585,1.919131261302662,0.6038699668884917,83867621568.49934,35793.2262923074,159611.26074769304,58189.405674955684,0.1643393791222356,0.4057374263408944,7.422488351848949,2956892413.1981907,0.00019465033019078573,0.28099620452843865,4.925916028766602,0.9999999991378519,0.3580448698877874,1.0294761285461325,22.0,16.75,2.75,0.21577380952348843,0.28464977645263095,0.43828831788160894,0.5409477579199103,0.13054578572892586,0.25,1.4436233549705129,0.56,0.7675109948058516,0.8941877794283507,5.0,-0.07188890995856849,5.423822325293171,1.0,0.7793159933389712,0.08821148296925378
animal_3,370.11428571428576,696.8857142857144,0.5310975359763848,0.550765306122449,1.038577815626996,2.0200695254462198,1.2645035911112843,-0.6315452933237493,1,126,42,85,3.5,7.083333333333333,0.49411764698906574,0.6666666666666666,0.75,1.25,0.9644172579597516,0.8515851696569499,0.6373774382430321,0.8095238095238095,0.7505584512263572,1.9822834645669292,0.25,19.75,1.25,8.950000000000003,2.569222951604027,6.161921965757752,1.930272033396111,0.7244094488188977,0.3468737448115641,0.6531262551874988,-326.7714285714286,8.46825396818676,1.9384724697661084,0.6099558324829466,85453520597.01775,103911.65585978322,58524.09815666353,64029.880330282125,0.847884802620675,0.46505817648164954,6.162250671088717,3088294192.9572854,0.00033723068313971585,0.479561413907996,4.966425324330843,0.9999999992391939,0.3138832098727551,0.9031110942871771,23.0,19.75,2.25,0.16071428571404656,0.3397913561842924,0.40607099552017295,0.4653719993957649,-0.1689217893218608,0.25,1.474216398651223,0.5384615384615384,0.6857390855795639,0.9299552906054847,7.75,-0.037599912552462,3.0996924596884936,1.0,1.364654125555049,0.15485885165864152
animal_4,880.8000000000001,1344.2,0.6552596339830382,1.3107142857142857,2.00327868852459,1.7093642459486955,1.1416658154760937,-0.4223327069422771,11,121,42,79,3.5,6.583333333333333,0.5316455695394969,0.6942148760330579,0.75,1.75,1.8270337938957082,4.2473039726838895,0.8105407641240685,0.8181818181818182,0.7207743857015018,2.0635245901639343,0.25,21.25,1.25,9.225000000000001,2.436313217903317,5.73004488665099,1.918376992163485,0.7295081967213115,0.39586516853914794,0.6041348314604027,-463.4,18.388429751914146,1.9623856967410598,0.6174803201887844,84208931136.4213,88817.06720012451,88138.63486022568,111988.78183922463,0.4438025966902317,0.4713902653597593,5.6780278266313555,2932662437.1645856,0.0002837798697876869,0.444041506631683,4.762569256492324,0.9999999992771481,0.38317230748663944,1.0420155523178718,21.0,21.25,3.25,0.17261904761879074,0.32786885245852776,0.40162291696528085,0.714838433105903,-0.20103850526219794,0.25,1.8649457139147176,0.46153846153846156,0.699702316140089,1.084947839039732,9.75,-0.05405971380877955,4.177664909592805,1.0,0.8095887404525041,0.03860436773182717
animal_5,867.1142857142858,1171.8857142857141,0.7399307587283013,1.2903486394557824,1.7464764743453265,1.425176940588672,1.1888147358393761,-0.30089904206772555,1,146,61,85,5.083333333333333,7.083333333333333,0.7176470587222145,0.5753424657534246,0.25,1.625,1.9929629301796516,5.064418256957529,0.7950161852216108,0.8904109589041096,0.8696947133257791,1.7125850340136055,0.25,21.75,1.25,4.350000000000001,3.092137749551422,10.351247673761229,2.035474584811916,0.7346938775510204,0.42526448539179035,0.5747355146077192,-304.7714285714284,13.96575342456188,1.9688470304884806,0.6195134304167227,80783247268.81406,82796.77279040887,75304.15663801678,67970.16533793305,0.5778898245584205,0.4675608183808317,5.904423953462541,2954443203.1997495,0.00026286815094508237,0.427465857545298,4.7023875716311405,0.9999999994109997,0.32693814247729697,1.0462440223945217,21.0,21.75,2.75,0.2008928571425582,0.29955290610983676,0.43991725032494994,0.4911917823799528,-0.0920348344359187,0.25,1.4877750558719605,0.5753424657534246,0.6773171353263024,0.870342771976928,9.75,-0.06134969559301851,4.716968832860611,1.0,0.9203818304288444,0.06474728023524862
animal_6,572.9714285714286,862.0285714285715,0.6646780020549535,0.8526360544217688,1.2846923568235045,1.5202490278245755,1.150219031766326,-0.4078681785641374,1,153,55,98,4.583333333333333,8.166666666666666,0.561224489727197,0.5490196078431373,0.25,1.25,1.8048149210685809,4.728887244545246,0.7652572249352858,0.8758169934640523,0.9113924050605766,1.6347402597402598,0.25,16.75,1.25,4.950000000000017,2.7096264791758946,7.408749908138784,1.8611313575339588,0.7337662337662337,0.39928322548503786,0.6007167745142653,-289.0571428571428,9.379084967258962,1.9724187691687451,0.6206373064965285,67850446592.94063,64899.30019220009,87244.90449054632,71413.20301822227,0.4090512688651154,0.49016819507975656,5.838569078883018,3009361469.765057,0.00025318017311124776,0.38022122269619607,4.837441799170205,0.9999999993638178,0.30005833797732107,1.009500801177444,23.0,16.75,2.75,0.18749999999972097,0.31296572280132195,0.4193585882880234,0.5230497920901878,-0.047631410406448284,0.25,1.67270675709016,0.4883720930232558,0.7402043583276678,1.0253353204111755,4.75,-0.047294076997550456,3.754670440806289,1.0,0.9877258625578823,0.09481262018928788
animal_7,1132.542857142857,1167.4571428571428,0.9700937324098773,1.685331632653061,1.7398765169256971,1.292479906466478,1.162548171043925,-0.03033619744915317,11,153,71,83,5.916666666666667,6.916666666666667,0.8554216866233125,0.5490196078431373,0.25,1.25,1.8356486515847703,3.821616729761425,0.793086355384109,0.8888888888888888,0.9113924050605766,1.6347402597402598,0.25,17.25,1.25,4.75,2.6573986204079754,7.572170487563852,1.7878828306361012,0.7207792207792207,0.4924099378879846,0.5075900621115805,-34.914285714285825,15.03267973846384,1.8200487890107044,0.5726928762597031,85279698838.34978,30484.089710842265,156590.42568798125,52624.188950007396,0.14570726697840783,0.4098363692129195,5.87045332340035,2915541509.477479,0.0001091760199348831,0.26038611469646905,4.32877344111494,0.9999999991040538,0.3342149321990387,1.1044168466637356,23.0,17.25,2.25,0.24702380952344194,0.25335320417249874,0.44480094489422245,0.5964801438751701,0.10826719722175653,0.25,1.4808531123818638,0.5121951219512195,0.7464959702849784,0.9776453055083301,5.25,0.0,0.0,1.0,-0.05673864358749811,-0.0035569900680662877
animal_8,816.5142857142857,1128.4857142857143,0.7235486239461225,1.2150510204081633,1.681796891632957,1.4875228726166196,1.055173015023057,-0.3232493105080758,11,156,57,101,4.75,8.416666666666666,0.5643564355765122,0.5384615384615384,0.25,1.25,1.275165249365454,1.399226248257821,0.6837210601258269,0.8974358974358975,0.9292628443754899,1.6035031847133758,0.25,17.25,1.25,3.75,2.9604036262860225,9.163697911634817,1.8785052928639159,0.7006369426751592,0.4198016893130416,0.5801983106864442,-311.97142857142853,12.467948717868795,1.848075541058206,0.5815117174573754,106754314623.59131,73184.10049183409,47985.92425206193,51818.90934174627,0.7332721057347029,0.395081490935804,4.869861964733246,2968317907.341131,0.0002153707623474345,0.4017512360095635,4.5343791934365,0.9999999992332822,0.32354830993301154,1.0316169693071973,23.0,17.25,1.75,0.1815476190473489,0.3189269746642043,0.44360930345873956,0.4974623620129109,-0.14742068094873279,0.25,1.3566545616232506,0.44680851063829785,0.6262176333526276,1.120715350216866,5.25,-0.06619262829358624,4.908734117206934,1.0,0.6413814072498101,0.04477415870237578
animal_9,1049.2857142857142,1155.7142857142858,0.9079110012360938,1.5614370748299318,1.7223759846710667,1.3176753580489111,1.0746006093484906,-0.09652123765059173,12,170,73,99,6.083333333333333,8.25,0.7373737372843587,0.49411764705882355,0.25,1.25,1.4193088564302345,2.0745582154721554,0.6831248631180143,0.9294117647058824,1.012658227845085,1.4722222222222223,0.25,17.25,1.25,4.25,3.041757693231412,9.630195897457437,1.9526634727926078,0.7426900584795322,0.47586653709081106,0.5241334629087354,-106.42857142857156,12.970588235217821,1.946317945905109,0.6124244741604663,68532857579.60777,51430.0889269943,104934.45244539782,44484.85909671068,0.34419974497406397,0.4178258569725438,6.538773245460922,2866677677.184641,0.00013748485958347742,0.33807709665431956,4.308407407137525,0.9999999992648365,0.2838961543108338,1.139047802404384,23.0,17.25,1.75,0.2321428571425117,0.26825633382970454,0.47786091790510116,0.45593144150814713,0.06835552100570053,0.25,1.4052895918161683,0.4666666666666667,0.6497644771312279,1.073025335314021,5.25,0.0,0.0,1.0,-0.02700277460069108,-0.0018786137263692567
animal_10,761.0571428571429,884.9428571428572,0.8600071029606432,1.1325255102040817,1.3188418139237812,1.507564206307654,1.2476844037682389,-0.15063090969991766,11,127,48,79,4.0,6.583333333333333,0.6075949366165678,0.6614173228346457,0.75,1.5999999999999943,1.589491841190093,3.210735925648632,0.7477645244483836,0.8188976377952756,0.7565152643313283,1.966796875,0.25,16.75,2.25,6.824999999999999,2.2667273263879086,4.93309142326744,1.6957407182621498,0.6875,0.46236764450588125,0.5376323554935113,-123.88571428571424,12.96062992115779,1.8358826930619079,0.5776751405309993,96277861243.2649,38658.695316718185,116660.72229821613,101875.11408995582,0.17689865404066232,0.4108860708368267,5.605552802554109,3028266780.028561,0.00015010286464609517,0.2924519265099891,4.491168550220161,0.9999999991486177,0.355347922014114,0.9618841008735299,23.0,16.75,2.75,0.20386904761874425,0.2965722801783956,0.4050291884100666,0.5195320298042541,-0.05128980144625039,0.25,1.5744058299013008,0.56,0.600453342400071,0.8941877794283507,5.0,-0.15720194275613644,11.141831289288575,2.0,0.3315443639998241,0.020910557926800268
