animal,total_activity,mean_activity,std_activity,max_activity,min_activity,cv_activity,median_activity,max_median_ratio,activity_per_hour,activity_skew,activity_kurtosis,gini_coefficient,high_activity_frac,day_activity,night_activity,day_night_ratio,day_mean_activity,night_mean_activity,day_cv_activity,night_cv_activity,daynight_log_ratio,peak_hour,num_bouts,num_bouts_day,num_bouts_night,bout_rate_day,bout_rate_night,bout_rate_ratio,mean_bout_len,median_bout_len,p95_bout_len,bout_len_skew,bout_len_kurt,bout_len_cv,short_bout_frac,transitions_per_hour,ibi_mean,ibi_median,ibi_max,ibi_p75,ibi_p90,ibi_skew,ibi_kurt,ibi_cv,short_gap_frac,day_frac,night_frac,day_minus_night,activity_per_bout,hourly_entropy,hourly_entropy_norm,peak_to_mean_ratio,power_24h,power_12h,power_8h,rhythm_ratio_24_over_harm,daily_total_cv,daily_peak_std,fano_30m,cosinor_mesor,cosinor_amplitude,cosinor_acrophase,relative_amplitude,interdaily_stability,intradaily_variability,activity_offset,longest_inactive_run,longest_active_run,active_fraction_day,active_fraction_night,rolling_std_1h,autocorr_24h,autocorr_12h,night_ibi_median,night_ibi_cv,night_bout_len_mean,night_bout_len_cv,night_transitions_per_hour,night_onset_latency_h,night_first_2h_frac,night_gini,night_peak_hour,night_activity_per_bout,night_day_intensity_ratio
animal_1,2180.0,1.0818858560794045,1.849510361265996,14.057142857142859,-2.0000000000000018,1.7095244852986156,0.3428571428571429,40.99999988041666,90.83333333333333,2.5655658118514357,7.988609274353658,0.7654826416554736,0.23424317617866006,1324.0,856.0,1.5467289719626167,1.3134920634920635,0.8500496524329693,1.762445513736425,1.380090212022388,0.43572981982254255,11,163,65,101,5.416666666666667,8.416666666666666,0.6435643563591805,0.7730061349693251,0.75,2.75,2.0712893279345392,4.455486221682884,0.9367979428545218,0.7914110429447853,0.647146401983827,2.3033536585365852,0.75,63.25,3.25,5.75,9.328005322413095,106.1996485067486,2.3060034727757555,0.524390243902439,0.6073394495410058,0.3926605504585355,468.0,13.374233128752307,1.4360970628841856,0.451879401528735,181344617785.22238,100948.66635752116,259277.75776273,174619.23259097314,0.23265583445331073,0.4883804140460394,5.012587461366758,3215804198.5727797,-4.911953679198786e-05,0.3149211379665922,3.410934947121521,0.9999999993155312,0.373120570346777,0.7891775931279764,23.0,63.25,3.75,0.27380952380925216,0.2264150943393978,0.3215595933812465,0.610235808212227,0.07231261408122658,0.25,1.8973897099556751,0.6057692307692307,0.767177520866537,0.826216484604464,4.0,0.0,0.0,0.0,-1.699829251832603,-0.08345083184697488
animal_2,1773.0,0.8799007444168735,1.425818396466763,13.02857142857143,-1.8000000000000014,1.620430946915131,0.14285714285714263,91.19999936160016,73.875,2.1346220578237673,6.401904345332559,0.7678897991915834,0.24069478908188585,717.6571428571428,1055.3428571428572,0.6800227414245877,0.7119614512471655,1.0480068094765216,1.9480973068068619,1.378737483746255,-0.38518369567635435,0,179,72,110,6.0,9.166666666666666,0.6545454544740497,0.7039106145251397,0.75,1.75,1.2028266563656753,1.3586352714255305,0.7166956689112294,0.7821229050279329,0.7106699751846934,2.098611111111111,0.25,63.25,2.75,5.25,8.797583611060965,99.06336735303957,2.5232904231784756,0.6722222222222223,0.40476996213013994,0.5952300378692961,-337.6857142857143,9.90502793290556,1.8021646244249496,0.567065481149221,90372538026.07266,54909.46004869541,125977.18711502654,76605.2238038826,0.2710475198692083,0.5088777998625226,6.609534810652194,3148196074.417794,0.00011252839671634755,0.23325784581475692,5.064569063708681,0.9999999993056753,0.2176260129407302,0.8714308127371257,23.0,63.25,2.75,0.19246031746012654,0.30784508440883035,0.3884914971984243,0.389552888962563,0.09931842075379503,0.25,2.0707922005876656,0.5833333333333334,0.6851187878701849,0.8579940417046356,4.25,-0.04087418938501189,4.792238023619664,0.0,0.8501363374952189,0.08529116849680599
animal_3,1252.0,0.6213399503722085,1.128312347475735,7.200000000000001,-1.4571428571428584,1.8159340097153402,0.0,7200000000.000001,52.166666666666664,2.082539786838746,4.693312863679919,0.8316535386699251,0.24962779156327544,425.4571428571429,826.5428571428572,0.5147429914618549,0.4220804988662132,0.8207972762093915,2.3819483586647663,1.4707596066025117,-0.6629490208173783,1,173,59,117,4.916666666666667,9.75,0.504273504221784,0.7283236994219653,0.75,1.75,1.3544782436639167,2.5092137017507063,0.6475553375582956,0.8092485549132948,0.6868486352343686,2.170977011494253,0.25,63.5,1.75,5.925000000000004,7.8976116978463855,82.61313336566006,2.580626561854681,0.6724137931034483,0.3398219990869034,0.660178000912298,-401.0857142857143,7.236994219611347,2.0076600983158785,0.6317262719541287,90773894854.04057,176042.25484763578,78681.14409927,79590.00515637333,1.1122826596986861,0.5360131233954905,5.621865517853167,3184299376.080835,0.00019513673666002467,0.41784596403016117,4.956267417146597,0.9999999992832321,0.24123003351187247,0.8178514103468814,23.0,63.5,2.75,0.15873015873000126,0.34160873882786336,0.38440083498129995,0.40835549414148614,-0.13682478899045827,0.25,2.2038246561837282,0.5727272727272728,0.7095966002612475,0.8738828202547214,4.25,-0.024670616763676406,3.194498067412889,1.0,1.3377231405326409,0.18550790980213883
animal_4,2381.0,1.1816377171215882,1.8504394366966261,9.600000000000001,-1.4571428571428584,1.5659955753648473,0.3428571428571429,27.99999991833333,99.20833333333333,1.7561306799120602,2.587550934450201,0.7504641212386667,0.24764267990074443,797.4857142857143,1583.5142857142857,0.5036176316691626,0.791156462585034,1.5725067385444744,1.9585747011790755,1.294841173339971,-0.6853161181962895,11,159,54,106,4.5,8.833333333333334,0.5094339622064792,0.7924528301886793,0.75,2.25,2.165925437807662,6.104211396496989,0.8952481202258241,0.779874213836478,0.6312655086836104,2.3609375,0.25,63.5,1.8125,8.549999999999997,7.131106078592637,69.25990932728322,2.522646353162533,0.675,0.33493730125383425,0.6650626987457458,-786.0285714285715,14.974842767201418,2.0173188212875566,0.6347654662180652,106274239718.59477,205459.39210034988,131598.20953347845,143867.54211144077,0.7458618389889367,0.5243380334274699,5.540422456070976,3067847301.6807604,0.00021569385450680102,0.4512630202533446,5.029030042358606,0.999999999465428,0.31525392240893535,0.9378225754878673,23.0,63.5,4.25,0.1626984126982513,0.33763654419033007,0.3763722042588767,0.5536983585977368,-0.17430495473856145,0.25,2.1581065293264388,0.5943396226415094,0.7341591572188607,0.8421052631545498,4.25,-0.02101118322634348,2.7913578992204213,1.0,1.7295489844624417,0.11711262469451153
animal_5,2620.0,1.3002481389578164,1.934039221557365,21.600000000000005,-2.0571428571428587,1.4874385616175916,0.48571428571428577,44.470588143737025,109.16666666666667,2.3488565130169095,10.454062769736664,0.711409759410744,0.2327543424317618,950.5142857142857,1669.4857142857145,0.5693455640744797,0.9429705215419502,1.6578805504326857,1.8500933973065823,1.234077721184023,-0.5628150094893769,1,197,70,128,5.833333333333333,10.666666666666666,0.5468749999487305,0.6395939086294417,0.75,1.75,1.319951608243556,1.594469980734237,0.720076831579357,0.8375634517766497,0.7821339950356683,1.9078282828282829,0.25,63.25,1.25,5.25,8.285475494521387,90.66429501971089,2.781755265696058,0.7424242424242424,0.36279171210455075,0.6372082878950677,-718.9714285714288,13.299492385719292,2.206912750647805,0.6944227091350083,96797486770.76039,169170.49922232385,82386.47300058744,96406.91110025784,0.9461787418649968,0.5486251339778723,5.984138814848123,3060811266.1559114,0.00019611054274324013,0.40910995336406997,5.039570923324164,0.9999999993085134,0.22624487630657872,0.9252700169593897,19.0,63.25,2.25,0.17063492063475136,0.3296921549152635,0.38066228208312547,0.43512370122894506,-0.07918137962195645,0.25,2.2983960580690086,0.5431034482758621,0.6489520971149336,0.921549155904979,10.25,-0.023177655419074468,2.998585189558171,1.0,1.3920389248681184,0.1025157919239043
animal_6,1256.0,0.6233250620347395,0.9035563652385966,5.142857142857144,-0.9428571428571436,1.449574901238672,0.31428571428571417,16.363636311570257,52.333333333333336,1.5355482227505108,2.2550726101856107,0.7311718074405555,0.2337468982630273,469.88571428571424,786.1142857142858,0.5977320636766736,0.46615646258503396,0.7806497375514257,1.7898297537072005,1.2071930187506736,-0.5137580350474513,1,216,71,145,5.916666666666667,12.083333333333334,0.4896551723732699,0.5833333333333334,0.75,1.25,0.9964006932009274,1.4126290038339455,0.6130663413101592,0.8842592592592593,0.8575682382116971,1.7407834101382489,0.25,63.75,1.25,4.5,9.243047884716349,109.21252907934537,2.8771914318362133,0.7373271889400922,0.37411282984501604,0.6258871701541878,-316.2285714285715,5.814814814787895,2.1740864251024736,0.6840936438335162,86903574155.48994,123350.97073630313,105774.34603447432,58291.03396733446,0.751840337888118,0.5298030518910932,6.6489606470448015,3041683297.2881165,0.00015706311948456743,0.3495697049717413,4.862839422005396,0.999999999313179,0.20363002512165862,0.97284195611829,23.0,63.75,2.25,0.1785714285712514,0.32174776564019686,0.4412107024698136,0.35747044956155266,0.01246663603054012,0.25,2.3816937742071933,0.4405594405594406,0.6505032244677836,1.1360476663311379,4.75,-0.030747990068069178,3.644837599839435,1.0,0.9383775970813191,0.1417893912457482
animal_7,2612.0,1.2962779156327544,1.8077786865104046,11.657142857142858,-1.4571428571428584,1.3945919040269774,0.6571428571428564,17.739130407788302,108.83333333333333,1.8164762087505786,4.093229245964574,0.6933266960278766,0.24069478908188585,1392.6000000000001,1219.4,1.1420370674102018,1.3815476190476192,1.2109235352532275,1.5175765376323245,1.2046523221437209,0.13271165325572376,12,210,86,124,7.166666666666667,10.333333333333334,0.6935483870296566,0.6,0.25,1.75,2.7462486478960284,11.009717914604934,0.9345301268206423,0.8571428571428571,0.8337468982613723,1.7902843601895735,0.25,63.25,1.625,4.75,9.50257135204815,114.96667749935972,2.7533359447551975,0.6919431279620853,0.5331546707501787,0.46684532924943845,173.20000000000005,12.43809523803601,1.7915126227394318,0.5637137438111696,129562132987.77477,85932.47020640827,299620.2227175364,85703.32501833125,0.22301380414288413,0.5421728569343546,4.560203344748405,3035503438.3989463,-2.2870497797412855e-05,0.29124482628691994,3.5717421281505155,0.9999999993875649,0.2999603251727503,0.9672703205827229,23.0,63.25,4.25,0.2628968253965646,0.23733862959261437,0.40236080197349117,0.6078414610805857,0.3509553509257229,0.25,2.1249244007860337,0.5338983050847458,0.6563352896924307,0.9374379344550648,4.5,0.0,0.0,0.0,-0.8712330706796635,-0.053802990144115485
animal_8,2173.0,1.0784119106699752,1.7970898134755757,30.0,-5.400000000000005,1.6664224455376369,0.45714285714285685,65.62499985644536,90.54166666666667,5.082481387405368,56.84184351071141,0.7162392894132872,0.2501240694789082,946.6,1226.4,0.7718525766470972,0.9390873015873016,1.2178748758689177,2.229556532777651,1.1723162012216684,-0.25872091767036665,11,206,62,146,5.166666666666667,12.166666666666666,0.424657534211672,0.6116504854368932,0.75,1.4375,1.2215654470228918,1.3159292254029173,0.6887293162130647,0.8592233009708737,0.8178660049611556,1.8248792270531402,0.25,63.25,1.25,4.450000000000003,8.575705377257576,96.29917413975404,2.8381051269107056,0.7294685990338164,0.43561895996298405,0.5643810400365558,-279.80000000000007,10.548543689269183,1.876939039599045,0.5905938476167849,126793726636.2629,63860.222438681565,36421.129684188156,94730.24392626689,0.4869199664531025,0.513211302338908,5.82829376957466,3235881139.60535,9.544583551541448e-05,0.25314785308074567,4.593535049533508,0.9999999993517118,0.18823088583607112,0.7859656641767128,23.0,63.25,2.25,0.16666666666650132,0.3336643495527968,0.32705675215566093,0.28858353589096986,-0.09544735808696263,0.25,2.259363898114128,0.47368421052631576,0.6765145643218371,1.0566037735807086,8.75,-0.14373090154405865,14.59097100961321,1.0,0.15975347927858588,0.010463464731442365
animal_9,2310.0,1.1464019851116625,1.7458677571844268,10.285714285714288,-1.542857142857144,1.5229106193621733,0.3428571428571429,29.9999999125,96.25,1.8483639991868897,3.426942006241074,0.7372505712413546,0.23771712158808933,1136.2857142857142,1173.7142857142858,0.9681110029211294,1.127267573696145,1.1655553979287843,1.7148307238388583,1.318288015768886,-0.032380485882317345,11,197,76,124,6.333333333333333,10.333333333333334,0.6129032257471383,0.6395939086294417,0.75,1.25,2.1798879493081413,6.652099908945729,0.7889443773840722,0.8578680203045685,0.7821339950356683,1.9078282828282829,0.25,63.25,1.25,5.075000000000003,8.641014044732207,97.56574611206743,2.729163384401707,0.7070707070707071,0.4918985776126504,0.5081014223869168,-37.42857142857156,11.725888324813575,1.873180470789899,0.5894111839459392,134256191040.75377,127361.694852412,129714.3859600333,142834.60323698312,0.4672983569949918,0.5851114284159743,5.195357113538018,3048445425.238815,7.312179881170677e-05,0.35359512052596165,4.16044509369333,0.9999999993610048,0.27898459547240795,0.935940656795422,20.0,63.25,3.25,0.22222222222200178,0.27805362462733063,0.39334653951282034,0.5941622298246528,0.0008146840376424358,0.25,2.3520408059488753,0.47368421052631576,0.5905636550162906,1.0566037735807086,4.0,0.0,0.0,1.0,-0.2699366910826741,-0.018054603928622976
animal_10,2081.0,1.0327543424317618,1.7392994453549977,10.971428571428573,-1.7714285714285736,1.684136656602749,0.3428571428571429,31.999999906666666,86.70833333333333,2.354308223665355,6.267275351935762,0.7656657719673328,0.23424317617866006,1129.5714285714287,951.4285714285714,1.1872372372372373,1.120606575963719,0.944814867357072,1.8175321504102808,1.454469500247824,0.17146335932730938,11,163,67,96,5.583333333333333,8.0,0.6979166665794271,0.7730061349693251,0.75,2.25,1.8214743420133295,3.859729017787382,0.8199079158357708,0.7791411042944786,0.647146401983827,2.3033536585365852,0.25,63.25,2.3125,6.5,8.161721888671845,86.3879972774417,2.4264301176257095,0.6280487804878049,0.542802224205135,0.45719777579438453,178.14285714285722,12.766871165565849,1.6048682261101304,0.5049845949065999,197065650912.1876,74064.90919490835,276575.9469800176,188191.4667477605,0.1593590837207215,0.5096941811360425,4.744723036618141,3207915082.2980814,1.6700057775021037e-05,0.2693019542446497,3.8559237169834555,0.9999999991687093,0.38748350797955566,0.8004134330328072,16.0,63.25,3.75,0.23611111111087688,0.2641509433959641,0.33657922494127707,0.5811732381585148,0.03679917293715314,0.25,2.0712017659650117,0.6494845360824743,0.8173061947229048,0.7706057596791634,4.75,0.0,0.0,1.0,-0.8694595126521112,-0.051571583586156475
