animal,total_activity,mean_activity,std_activity,max_activity,min_activity,cv_activity,median_activity,max_median_ratio,activity_per_hour,activity_skew,activity_kurtosis,gini_coefficient,high_activity_frac
animal_1,2180.0,1.0818858560794045,1.849510361265996,14.057142857142859,-2.0000000000000018,1.7095244852986156,0.3428571428571429,40.99999988041666,90.83333333333333,2.5655658118514357,7.988609274353658,0.7654826416554736,0.23424317617866006
animal_2,1773.0,0.8799007444168735,1.425818396466763,13.02857142857143,-1.8000000000000014,1.620430946915131,0.14285714285714263,91.19999936160016,73.875,2.1346220578237673,6.401904345332559,0.7678897991915834,0.24069478908188585
animal_3,1252.0,0.6213399503722085,1.128312347475735,7.200000000000001,-1.4571428571428584,1.8159340097153402,0.0,7200000000.000001,52.166666666666664,2.082539786838746,4.693312863679919,0.8316535386699251,0.24962779156327544
animal_4,2381.0,1.1816377171215882,1.8504394366966261,9.600000000000001,-1.4571428571428584,1.5659955753648473,0.3428571428571429,27.99999991833333,99.20833333333333,1.7561306799120602,2.587550934450201,0.7504641212386667,0.24764267990074443
animal_5,2620.0,1.3002481389578164,1.934039221557365,21.600000000000005,-2.0571428571428587,1.4874385616175916,0.48571428571428577,44.470588143737025,109.16666666666667,2.3488565130169095,10.454062769736664,0.711409759410744,0.2327543424317618
animal_6,1256.0,0.6233250620347395,0.9035563652385966,5.142857142857144,-0.9428571428571436,1.449574901238672,0.31428571428571417,16.363636311570257,52.333333333333336,1.5355482227505108,2.2550726101856107,0.7311718074405555,0.2337468982630273
animal_7,2612.0,1.2962779156327544,1.8077786865104046,11.657142857142858,-1.4571428571428584,1.3945919040269774,0.6571428571428564,17.739130407788302,108.83333333333333,1.8164762087505786,4.093229245964574,0.6933266960278766,0.24069478908188585
animal_8,2173.0,1.0784119106699752,1.7970898134755757,30.0,-5.400000000000005,1.6664224455376369,0.45714285714285685,65.62499985644536,90.54166666666667,5.082481387405368,56.84184351071141,0.7162392894132872,0.2501240694789082
animal_9,2310.0,1.1464019851116625,1.7458677571844268,10.285714285714288,-1.542857142857144,1.5229106193621733,0.3428571428571429,29.9999999125,96.25,1.8483639991868897,3.426942006241074,0.7372505712413546,0.23771712158808933
animal_10,2081.0,1.0327543424317618,1.7392994453549977,10.971428571428573,-1.7714285714285736,1.684136656602749,0.3428571428571429,31.999999906666666,86.70833333333333,2.354308223665355,6.267275351935762,0.7656657719673328,0.23424317617866006
animal_11,2157.0,1.0704714640198512,1.5554168838098588,11.657142857142858,-2.0571428571428587,1.4530204083805587,0.3428571428571429,33.99999990083333,89.875,1.8246405742448288,4.146271555782946,0.7149956096216576,0.23126550868486354
animal_12,2164.0,1.0739454094292804,1.6342478115974863,10.285714285714288,-1.0285714285714294,1.5217233550688238,0.3428571428571429,29.9999999125,90.16666666666667,1.9387613951436198,4.064578945721594,0.7336327163385765,0.2491315136476427
