Description:
Start date: 2025-03-18 00:00:00
End date: 2025-03-19 00:00:00
Sampling interval: 30T
Animal: Animal 26
Tag: 263000247276
Sex: Female
Cage: 4

Data:
date, duration, values, day
2025-03-18 00:00:00,0.0,0,2025-03-18
2025-03-18 00:30:00,0.0,0,2025-03-18
2025-03-18 01:00:00,0.0,0,2025-03-18
2025-03-18 01:30:00,0.0,0,2025-03-18
2025-03-18 02:00:00,0.0,0,2025-03-18
2025-03-18 02:30:00,0.0,0,2025-03-18
2025-03-18 03:00:00,0.0,0,2025-03-18
2025-03-18 03:30:00,0.0,0,2025-03-18
2025-03-18 04:00:00,0.0,0,2025-03-18
2025-03-18 04:30:00,0.0,0,2025-03-18
2025-03-18 05:00:00,0.0,0,2025-03-18
2025-03-18 05:30:00,0.0,0,2025-03-18
2025-03-18 06:00:00,0.0,0,2025-03-18
2025-03-18 06:30:00,0.0,0,2025-03-18
2025-03-18 07:00:00,0.0,0,2025-03-18
2025-03-18 07:30:00,0.0,0,2025-03-18
2025-03-18 08:00:00,0.0,0,2025-03-18
2025-03-18 08:30:00,0.0,0,2025-03-18
2025-03-18 09:00:00,0.0,0,2025-03-18
2025-03-18 09:30:00,0.0,0,2025-03-18
2025-03-18 10:00:00,0.0,0,2025-03-18
2025-03-18 10:30:00,0.0,0,2025-03-18
2025-03-18 11:00:00,0.0,0,2025-03-18
2025-03-18 11:30:00,0.0,0,2025-03-18
2025-03-18 12:00:00,0.0,0,2025-03-18
2025-03-18 12:30:00,0.0,0,2025-03-18
2025-03-18 13:00:00,0.0,0,2025-03-18
2025-03-18 13:30:00,0.0,0,2025-03-18
2025-03-18 14:00:00,0.0,0,2025-03-18
2025-03-18 14:30:00,0.0,0,2025-03-18
2025-03-18 15:00:00,0.0,0,2025-03-18
2025-03-18 15:30:00,0.0,0,2025-03-18
2025-03-18 16:00:00,0.0,0,2025-03-18
2025-03-18 16:30:00,0.0,0,2025-03-18
2025-03-18 17:00:00,0.0,0,2025-03-18
2025-03-18 17:30:00,0.0,0,2025-03-18
2025-03-18 18:00:00,0.0,0,2025-03-18
2025-03-18 18:30:00,199.57,3,2025-03-18
2025-03-18 19:00:00,0.0,0,2025-03-18
2025-03-18 19:30:00,219.396,2,2025-03-18
2025-03-18 20:00:00,16.064,2,2025-03-18
2025-03-18 20:30:00,0.0,0,2025-03-18
2025-03-18 21:00:00,65.43,1,2025-03-18
2025-03-18 21:30:00,53.376,2,2025-03-18
2025-03-18 22:00:00,303.256,0,2025-03-18
2025-03-18 22:30:00,490.758,9,2025-03-18
2025-03-18 23:00:00,1045.663,3,2025-03-18
2025-03-18 23:30:00,1413.994,5,2025-03-18
2025-03-19 00:00:00,230.416,3,2025-03-19
2025-03-19 00:30:00,97.003,3,2025-03-19
2025-03-19 01:00:00,95.882,4,2025-03-19
2025-03-19 01:30:00,979.949,2,2025-03-19
2025-03-19 02:00:00,1582.486,5,2025-03-19
2025-03-19 02:30:00,1133.252,3,2025-03-19
2025-03-19 03:00:00,440.916,0,2025-03-19
2025-03-19 03:30:00,1324.454,1,2025-03-19
2025-03-19 04:00:00,897.812,6,2025-03-19
2025-03-19 04:30:00,412.252,4,2025-03-19
2025-03-19 05:00:00,1682.545,3,2025-03-19
2025-03-19 05:30:00,938.515,4,2025-03-19
2025-03-19 06:00:00,742.989,3,2025-03-19
2025-03-19 06:30:00,460.746,9,2025-03-19
2025-03-19 07:00:00,1710.034,4,2025-03-19
2025-03-19 07:30:00,1085.329,1,2025-03-19
2025-03-19 08:00:00,1747.822,2,2025-03-19
2025-03-19 08:30:00,1370.02,3,2025-03-19
2025-03-19 09:00:00,1702.206,3,2025-03-19
2025-03-19 09:30:00,984.749,2,2025-03-19
2025-03-19 10:00:00,1457.673,3,2025-03-19
2025-03-19 10:30:00,1004.171,3,2025-03-19
2025-03-19 11:00:00,161.229,1,2025-03-19
2025-03-19 11:30:00,81.026,3,2025-03-19
2025-03-19 12:00:00,116.98,4,2025-03-19
2025-03-19 12:30:00,52.295,2,2025-03-19
2025-03-19 13:00:00,23.238,4,2025-03-19
2025-03-19 13:30:00,0.0,0,2025-03-19
2025-03-19 14:00:00,22.768,2,2025-03-19
2025-03-19 14:30:00,27.587,2,2025-03-19
2025-03-19 15:00:00,0.0,0,2025-03-19
2025-03-19 15:30:00,791.911,1,2025-03-19
2025-03-19 16:00:00,1211.254,1,2025-03-19
2025-03-19 16:30:00,343.279,1,2025-03-19
2025-03-19 17:00:00,357.193,7,2025-03-19
2025-03-19 17:30:00,1418.252,2,2025-03-19
2025-03-19 18:00:00,1784.147,2,2025-03-19
2025-03-19 18:30:00,1451.202,1,2025-03-19
2025-03-19 19:00:00,427.174,0,2025-03-19
2025-03-19 19:30:00,0.0,0,2025-03-19
2025-03-19 20:00:00,0.0,0,2025-03-19
2025-03-19 20:30:00,0.0,0,2025-03-19
2025-03-19 21:00:00,0.0,0,2025-03-19
2025-03-19 21:30:00,0.0,0,2025-03-19
2025-03-19 22:00:00,0.0,0,2025-03-19
2025-03-19 22:30:00,0.0,0,2025-03-19
2025-03-19 23:00:00,0.0,0,2025-03-19
2025-03-19 23:30:00,0.0,0,2025-03-19
